prefer_emails,quality_products_priced_high,consult_multiple_sites_before_buy,prefer_television_ads,prefer_mobile_ads,watching_ads_makes_me_buy,prefer_online_networking,women_main_decision_maker,prefer_kids_friendly_ads,prefer_big_brands,frequently_visit_malls,prefer_online_offers,prefer_installment_payments,prefer_restaurant_coupons_shopping,prefer_movie_coupons_shopping
3,2,2,1,3,5,2,5,3,3,3,1,2,2,2
2,2,3,2,3,1,2,3,5,2,2,2,1,2,2
2,2,2,1,2,2,2,2,1,1,2,1,2,1,1
1,1,1,5,3,2,1,1,2,2,3,2,2,2,4
2,1,2,1,2,1,3,2,3,5,3,2,1,1,5
1,2,1,2,1,5,5,1,2,2,2,5,2,5,1
2,2,2,5,1,1,3,1,3,1,5,5,2,1,3
2,1,2,2,2,2,2,2,2,1,2,3,3,2,2
1,2,5,1,3,3,2,2,1,2,5,2,1,1,3
3,3,2,2,5,3,5,3,3,2,5,1,2,3,2
3,2,1,3,2,1,2,1,2,1,3,2,3,2,3
2,1,5,2,3,2,3,3,2,3,2,3,2,5,2
1,2,1,3,2,2,2,1,5,1,5,1,2,3,1
2,2,1,1,2,1,1,3,2,2,1,2,2,2,2
1,2,2,2,3,3,3,2,5,3,1,5,3,2,3
5,2,3,4,2,2,2,5,2,2,2,3,2,2,2
2,1,3,3,1,3,3,2,5,2,5,3,3,3,2
2,1,3,5,2,5,5,3,3,1,2,2,2,2,2
3,2,3,1,2,3,2,2,2,2,1,2,2,5,1
3,1,2,5,2,5,1,1,2,5,5,5,1,2,1
3,5,3,2,1,1,2,2,3,2,2,2,4,1,2
2,1,2,1,3,2,3,5,3,5,1,5,5,3,2
2,2,1,5,5,1,2,2,2,5,2,5,1,2,1
1,3,1,1,3,1,3,1,5,3,2,1,3,3,2
2,2,2,2,2,2,2,1,2,3,3,2,2,2,3
1,1,3,3,2,2,1,2,2,2,1,1,3,2,2
1,2,5,3,1,3,3,2,1,1,2,3,2,3,2
1,3,2,1,2,1,2,1,3,2,3,2,3,2,1
2,2,3,2,3,3,2,3,2,3,2,5,2,3,2
2,3,2,2,2,1,2,1,5,1,2,3,1,2,3
1,2,2,3,2,1,1,2,1,3,3,5,2,2,2
2,4,2,5,5,5,2,3,3,3,2,2,3,1,1
2,2,2,5,2,5,1,2,2,3,2,2,2,1,2
1,1,2,3,2,3,2,3,2,3,2,5,5,1,3
2,1,2,3,3,1,1,5,2,5,1,2,1,5,2
1,2,2,2,1,3,1,1,1,2,3,2,1,1,1
3,2,1,1,2,2,2,2,1,2,3,3,2,2,2
2,1,3,2,3,2,2,1,5,2,2,1,1,3,1
5,2,5,2,5,1,3,3,2,1,1,2,2,2,2
2,2,3,2,2,2,1,2,5,3,2,3,2,3,2
5,1,2,1,1,3,3,2,2,2,3,2,2,2,1
5,1,1,3,3,2,1,2,1,1,1,2,3,1,2
2,1,2,5,5,2,5,1,2,5,1,3,2,2,1
1,2,3,3,3,2,2,2,3,3,3,2,2,3,1
1,3,3,1,1,2,3,5,2,5,2,1,2,2,2
1,2,2,2,2,1,3,2,1,3,3,2,5,2,1
2,1,1,2,2,1,5,5,2,5,3,3,3,1,2
2,2,1,5,1,2,3,2,2,5,3,2,2,2,1
3,5,2,2,2,1,2,4,2,2,1,1,2,1,2
3,2,3,1,5,5,3,2,1,1,2,2,3,2,2
2,3,2,5,5,1,2,1,3,5,3,2,3,2,1
1,2,1,1,1,2,1,5,5,1,2,2,2,1,2
1,1,2,1,1,3,1,1,3,1,5,1,2,3,2
2,2,3,3,3,2,2,2,2,2,2,1,2,3,3
3,3,2,2,2,1,3,3,2,2,1,2,5,2,1
3,2,1,3,3,2,2,3,1,3,3,2,1,1,2
3,3,2,3,3,3,2,1,2,1,2,1,3,2,3
2,2,3,3,3,2,2,3,2,2,5,2,2,2,2
2,2,2,2,1,3,1,5,3,2,5,2,5,5,2
1,1,1,1,2,2,2,5,2,1,2,1,2,1,1
2,1,2,2,3,2,1,3,3,2,2,1,1,3,3
1,1,3,1,2,1,2,2,2,3,2,1,2,3,3
1,1,2,1,1,2,1,2,2,2,1,2,3,3,3
1,1,1,2,2,1,2,1,1,1,1,3,3,1,1
2,2,2,2,1,2,2,2,1,2,1,2,2,2,2
1,2,1,1,1,2,1,5,1,3,2,1,1,2,2
1,1,3,5,2,1,2,1,5,2,2,2,1,1,1
1,2,5,3,3,3,2,5,1,1,3,2,2,2,2
2,3,3,5,1,3,3,2,2,2,3,2,3,1,1
3,3,1,1,2,2,1,1,3,1,2,3,2,2,2
2,2,2,2,3,1,2,2,2,2,1,2,1,1,1
1,1,2,2,1,2,3,2,3,2,1,1,2,1,1
2,1,1,1,2,1,2,2,2,2,2,2,3,3,3
2,2,2,2,3,3,2,2,3,1,3,3,2,2,2
2,3,1,1,2,2,1,2,2,2,3,2,5,3,3
3,2,2,2,1,3,2,2,2,1,3,3,2,3,3
2,1,1,1,2,3,3,3,1,2,2,2,3,3,3
1,2,1,1,3,3,2,2,2,1,2,2,2,2,1
2,3,3,3,2,5,1,2,1,2,1,1,1,1,2
2,2,2,2,1,2,1,3,2,2,2,5,2,2,3
2,1,3,3,2,3,2,3,2,1,5,5,3,5,2
2,2,3,3,3,2,2,5,5,2,1,1,2,5,1
2,2,3,3,2,1,1,2,3,2,1,1,1,2,2
2,2,2,1,1,2,1,5,3,3,2,2,2,2,1
2,1,1,2,2,3,2,3,2,2,3,2,2,2,2
1,3,2,3,2,2,3,2,3,1,3,3,2,2,2
1,1,1,2,2,2,2,2,2,2,3,2,1,2,1
1,3,1,1,1,2,2,2,2,1,3,3,2,2,1
2,2,2,2,1,2,3,3,1,2,2,2,3,2,1
3,2,2,1,2,1,2,2,2,1,2,2,2,1,2
3,1,3,3,2,1,1,2,1,2,1,1,1,5,3
2,2,3,2,1,5,1,3,2,2,2,5,2,1,2
2,1,3,3,5,2,2,3,5,1,1,1,3,2,1
1,2,2,2,3,3,3,2,5,2,1,5,2,2,2
2,1,2,2,2,2,2,2,3,2,1,1,1,3,2
3,1,3,3,2,3,2,2,3,3,2,2,2,3,2
2,2,3,2,1,2,2,2,2,1,1,3,1,2,3
2,1,3,3,2,3,2,1,1,2,2,2,2,1,2
1,2,2,2,3,2,1,3,2,3,2,3,2,1,1
2,1,2,2,2,1,1,1,1,2,2,2,2,2,2
1,2,1,1,1,1,1,3,1,1,1,1,2,3,2
2,2,2,1,2,2,2,2,2,2,1,2,1,3,2
2,1,1,1,3,3,3,5,2,1,2,1,1,3,2
1,2,1,1,2,2,3,1,3,3,2,2,2,3,2
3,2,1,1,1,2,2,2,3,2,1,2,1,2,2
3,3,2,5,5,2,5,1,3,3,2,2,1,3,2
2,1,1,3,1,3,2,2,2,2,3,2,1,2,5
1,2,2,2,2,2,2,1,2,2,2,1,2,1,1
2,3,2,3,2,2,1,2,5,5,5,1,3,5,1
3,2,2,2,1,3,2,2,2,1,2,1,2,2,2
1,2,3,1,2,3,2,1,5,1,3,2,1,3,3
1,3,2,2,1,2,5,2,1,5,2,2,2,2,3
3,2,2,3,1,2,3,2,5,1,1,3,2,2,2
2,1,2,2,2,2,3,3,2,2,2,3,2,2,2
3,2,2,2,1,2,2,1,2,1,1,5,2,3,1
3,3,3,1,2,3,2,5,1,2,5,1,3,2,2
3,2,2,2,1,2,2,2,2,3,3,3,2,2,3
1,1,2,1,2,1,2,3,2,2,2,2,1,2,2
2,2,3,2,2,2,1,3,2,1,3,3,2,2,2
3,2,3,2,1,1,1,3,2,2,3,3,3,3,1
2,2,2,1,2,2,2,3,2,2,3,3,2,2,2
1,1,2,3,2,2,1,2,2,2,2,1,5,2,1
2,1,2,3,3,2,5,3,2,1,1,2,2,3,2
1,2,2,2,5,2,1,2,1,3,2,3,2,3,2
3,2,1,1,2,1,2,1,5,1,5,2,2,2,1
2,1,3,2,3,5,3,5,1,3,1,5,5,2,3
2,2,2,2,2,1,2,2,2,2,2,2,1,2,3
2,2,3,2,2,2,1,3,3,2,2,1,2,2,2
2,1,2,1,1,2,2,2,3,1,3,3,2,1,1
2,1,1,3,3,1,3,2,1,2,1,2,1,3,2
2,1,2,3,3,3,2,3,2,3,3,2,2,2,3
1,2,3,3,3,2,3,2,2,2,1,2,1,1,1
1,3,3,1,1,2,2,2,3,2,1,1,2,1,1
1,2,5,5,2,2,2,2,2,2,2,2,3,3,3
2,1,5,2,2,3,5,1,1,2,3,2,2,2,2
2,2,5,5,1,2,2,1,2,1,3,2,1,3,3
3,2,2,2,2,2,1,2,1,1,3,2,2,3,3
3,2,3,1,1,3,2,2,2,2,3,2,2,3,3
2,3,2,2,2,3,2,1,2,1,2,2,2,2,1
1,2,1,1,1,2,1,2,2,1,3,2,1,1,2
1,1,2,1,1,2,3,3,2,1,2,1,3,2,3
2,2,3,3,3,2,3,2,5,5,1,1,1,1,2
3,3,2,2,2,2,2,1,5,2,1,1,3,1,1
3,2,1,3,3,1,1,2,5,5,2,2,2,2,2
3,3,2,3,3,3,2,3,2,1,3,3,2,2,1
2,2,3,3,3,1,1,2,2,2,2,3,1,3,3
2,2,2,2,1,3,1,2,1,3,2,1,2,1,2
1,1,1,1,2,2,2,2,3,2,2,3,2,2,2
2,1,2,2,3,2,2,3,2,3,1,3,3,2,2
2,2,1,2,2,2,1,2,3,3,3,1,2,1,2
2,1,2,1,1,1,1,3,3,1,1,2,3,2,2
3,2,2,2,1,2,1,2,2,2,2,3,2,3,2
3,2,1,5,5,3,2,1,1,2,2,1,2,2,1
2,1,2,5,2,2,2,2,1,1,1,2,1,1,1
2,3,2,5,5,1,3,2,2,2,2,5,5,2,1
2,3,3,2,2,2,3,2,3,1,1,5,2,3,2
2,2,1,1,3,1,2,3,2,2,2,5,5,2,2
1,1,2,2,2,2,1,2,1,1,1,2,1,1,3
3,2,3,2,3,2,1,1,2,1,1,3,2,2,3
1,1,2,2,2,2,2,2,3,3,3,2,3,1,2
3,1,1,1,1,2,3,2,2,2,2,1,2,2,1
2,2,2,1,2,1,3,2,1,3,3,2,3,2,1
2,2,1,2,1,1,3,2,2,3,3,3,2,2,2
1,3,3,2,5,5,3,2,2,3,3,2,3,1,3
2,3,2,1,5,2,2,2,2,2,1,1,2,2,3
1,3,3,2,5,5,3,2,1,1,2,2,2,1,3
2,2,2,3,2,1,5,5,3,2,3,2,1,2,2
1,2,2,2,1,2,3,2,1,1,2,2,2,1,2
2,1,1,1,1,3,3,5,3,1,1,1,1,2,1
2,2,1,2,1,2,2,2,2,2,2,1,2,2,2
1,1,1,3,2,1,3,3,2,2,1,2,2,1,1
2,1,1,2,2,2,2,3,1,3,3,2,1,2,1
2,1,1,1,3,2,2,2,2,3,2,1,3,2,1
3,2,2,2,3,2,2,2,1,3,3,2,3,3,2
1,2,1,1,1,2,3,1,2,2,2,3,1,2,1
1,1,2,1,1,3,2,2,1,2,2,2,2,2,1
2,2,3,3,3,2,2,3,1,3,3,2,3,2,1
3,2,2,2,2,1,2,2,2,3,2,1,2,1,2
3,2,1,3,3,2,2,2,1,3,3,2,1,1,3
3,2,2,3,3,3,3,1,2,2,2,3,2,1,2
3,2,2,3,3,2,2,2,1,2,2,2,3,2,1
2,2,2,2,1,1,2,1,2,1,1,1,2,2,2
3,2,1,1,2,2,3,2,2,2,1,2,1,3,2
5,5,3,2,3,2,3,2,1,5,5,3,2,3,2
5,2,1,1,2,2,2,1,2,5,2,2,1,2,3
5,5,3,1,1,1,2,3,2,5,5,1,2,1,2
2,2,2,2,2,1,2,3,3,2,2,2,2,1,1
3,3,2,2,1,2,2,2,1,1,3,1,2,2,2
2,3,1,3,3,2,1,1,2,2,2,2,2,3,2
2,1,2,1,2,1,3,2,3,2,3,2,1,3,2
3,2,3,3,2,2,2,3,2,2,5,5,1,3,2
2,2,2,1,2,1,1,1,2,3,5,2,2,3,2
2,3,2,1,1,2,1,1,3,2,5,5,1,2,2
2,2,2,2,2,3,3,3,2,2,3,1,1,3,2
1,1,2,3,2,2,2,2,1,2,2,2,1,2,1
1,2,1,3,2,1,5,5,2,2,2,1,2,1,1
2,1,1,3,2,2,2,2,3,3,1,2,3,1,1
2,2,2,3,2,2,3,5,2,2,2,1,2,2,2
1,2,1,2,2,2,2,1,1,2,1,2,1,3,3
2,2,1,3,2,1,1,2,2,3,2,2,2,2,3
3,2,1,2,1,3,2,3,2,3,2,5,5,2,2
2,1,2,1,1,1,1,2,2,2,1,5,2,2,2
1,1,3,1,1,3,1,1,1,2,3,5,5,3,1
2,1,5,5,2,2,5,5,1,2,3,3,3,2,2
3,2,5,2,3,2,1,2,2,2,2,1,2,2,3
2,2,5,5,3,1,1,5,2,1,1,2,1,2,2
2,1,3,2,1,2,1,2,1,3,2,3,2,2,2
2,3,2,2,3,2,2,2,2,2,2,2,3,3,1
3,2,3,1,3,3,2,2,2,3,2,2,2,2,2
2,2,2,2,3,2,1,2,1,2,1,1,1,2,1
2,2,2,1,3,3,5,5,1,1,3,3,2,3,2
3,3,1,2,2,2,2,2,1,2,3,3,2,3,2
2,2,2,1,2,2,5,5,2,3,3,3,2,2,1
1,2,1,2,1,1,1,1,3,3,1,1,5,5,3
1,3,2,2,2,1,2,1,2,2,5,5,5,2,3
2,3,2,1,1,1,3,2,1,1,5,2,5,5,2
3,2,1,2,1,1,2,2,2,1,5,5,2,1,1
2,2,3,2,1,1,1,3,2,2,2,2,1,3,2
2,2,3,3,2,2,2,3,2,3,1,1,2,2,3
2,2,2,1,1,5,5,2,3,2,2,2,5,5,1
2,1,1,2,2,5,2,1,2,1,5,5,5,2,1
1,3,2,3,2,5,5,1,1,2,5,2,5,5,3
1,1,1,2,2,2,2,2,2,3,5,5,2,2,2
3,3,3,2,2,3,1,3,3,2,2,2,1,3,3
2,2,2,1,2,2,2,3,2,1,3,3,2,3,3
1,3,3,2,2,2,1,3,3,2,3,3,2,3,3
2,3,3,3,3,1,2,2,2,3,3,3,2,2,1
2,3,3,2,2,2,1,2,2,2,2,1,1,1,2
2,2,1,5,5,1,2,1,1,1,1,2,3,2,3
1,1,2,5,2,2,2,2,1,2,2,3,1,1,2
3,2,3,5,5,2,1,1,1,3,1,2,3,1,1
1,1,2,2,2,1,2,1,1,2,1,1,2,2,2
3,1,1,1,2,3,2,1,1,1,2,2,2,2,1
2,2,2,1,2,3,3,2,2,2,2,1,1,3,3
2,2,2,3,2,1,2,1,2,1,1,1,2,1,2
1,3,1,3,3,2,2,1,1,3,3,2,2,2,2
2,1,2,2,2,3,2,1,2,3,3,3,3,2,2
3,3,1,2,2,2,1,2,3,3,5,5,2,1,2
2,1,2,1,1,1,5,5,3,1,5,2,3,2,2
2,1,2,2,1,2,5,2,2,2,5,5,2,3,2
2,5,5,1,1,3,3,5,1,2,2,1,2,2,1
2,5,2,1,1,2,2,2,1,1,1,2,1,1,1
1,5,5,1,1,1,3,2,2,2,2,3,1,2,1
1,3,3,2,2,2,3,2,3,1,1,2,1,3,2
2,3,1,1,3,1,2,3,2,2,2,1,1,2,2
1,2,2,2,2,2,1,2,1,1,1,2,1,1,3
1,3,3,2,3,2,1,1,2,1,1,3,2,2,3
1,2,2,2,2,2,2,2,3,3,3,2,3,1,2
2,1,1,1,1,2,3,2,2,2,2,1,2,2,1
3,1,2,1,2,1,3,2,1,3,5,5,3,2,1
2,2,5,5,1,5,5,2,2,3,5,2,2,2,2
1,3,5,2,2,5,2,2,2,3,5,5,3,1,3
2,2,5,5,2,5,5,2,2,2,1,1,2,2,3
3,2,3,2,2,1,3,2,1,1,2,2,2,1,3
2,2,2,3,2,1,2,1,3,2,3,2,1,2,2
3,1,2,2,1,2,1,1,1,1,2,2,2,1,2
2,2,1,1,1,3,1,1,3,1,1,1,1,2,1
2,1,1,2,1,2,2,2,2,2,2,1,2,2,2
1,2,1,3,2,1,3,3,2,2,1,2,2,1,1
2,1,1,2,5,5,2,3,5,5,3,2,1,2,1
1,5,5,1,5,2,2,2,5,2,2,1,3,2,1
2,5,2,2,5,5,2,2,5,5,3,2,3,3,2
2,5,5,1,1,2,3,1,2,2,2,1,3,2,3
1,2,2,1,1,3,2,2,1,2,2,2,3,2,2
3,2,3,3,3,2,2,3,1,3,3,1,3,3,2
3,3,2,2,2,1,2,2,2,3,2,2,3,2,1
2,1,1,3,3,2,2,2,1,3,3,1,3,3,2
1,2,2,3,3,3,3,1,2,2,2,2,2,2,3
2,3,2,3,3,2,2,2,1,2,2,1,2,2,2
1,2,2,2,1,1,2,1,2,1,1,2,1,1,1
1,2,5,5,2,2,3,2,5,5,1,2,5,5,2
3,2,5,2,3,2,3,2,5,2,1,1,5,2,3
3,3,5,5,2,2,2,1,5,5,1,2,5,5,2
2,1,3,1,1,1,2,3,2,1,1,2,1,1,1
1,2,2,2,2,1,2,3,3,2,2,3,2,2,2
2,3,2,2,1,2,2,2,1,1,3,1,1,3,1
2,2,1,3,3,2,1,1,2,2,2,2,2,2,2
2,2,2,1,2,1,3,2,3,2,3,3,2,3,2
1,1,3,3,2,2,2,3,2,2,2,2,2,2,2
3,3,2,1,2,1,1,5,5,3,1,1,1,1,2
3,3,2,1,1,2,1,5,2,2,2,2,1,2,1
3,5,5,2,2,3,3,5,5,2,3,1,2,1,1
1,5,2,3,2,2,2,2,1,2,2,3,2,2,2
2,5,5,3,2,1,3,3,2,2,5,5,1,2,1
2,2,1,3,2,2,3,3,3,3,5,2,2,2,1
1,1,2,3,2,2,3,3,2,2,5,5,3,2,1
2,2,1,2,2,2,2,1,5,5,1,2,2,1,2
1,1,1,3,2,1,1,2,5,2,2,1,1,1,3
2,2,1,2,1,3,2,3,5,5,2,1,2,1,2
1,1,2,1,1,1,1,2,2,2,1,1,3,2,1
1,1,3,1,1,3,1,1,1,2,3,1,2,2,2
3,3,5,5,2,2,5,5,1,2,3,1,1,3,2
2,2,5,2,3,2,5,2,2,2,2,2,2,3,2
3,3,5,5,3,1,2,5,2,1,1,1,1,1,2
3,3,3,2,1,2,1,2,1,3,2,2,1,1,3
3,3,2,2,3,2,2,2,2,2,2,3,3,3,2
2,1,3,1,3,3,2,2,2,3,2,2,2,2,1
1,2,2,2,3,2,1,2,1,2,1,1,3,3,2
2,3,2,1,3,3,2,2,1,1,3,2,3,3,3
1,2,1,2,2,2,3,2,1,2,3,2,3,3,2
1,1,2,1,2,2,2,1,2,3,3,2,2,1,1
2,2,1,2,1,1,1,1,3,3,1,1,1,2,2
2,1,2,2,2,1,2,1,2,2,2,3,2,3,2
1,1,2,1,5,5,3,2,1,1,2,1,1,2,2
3,2,1,2,5,2,2,2,2,1,1,3,1,1,1
3,3,3,2,5,5,1,3,2,2,2,2,2,2,1
3,1,3,3,2,2,2,3,2,3,1,2,2,1,2
1,2,2,1,1,3,1,2,3,2,2,1,3,3,2
2,3,1,2,2,2,2,1,2,1,1,2,1,2,1
2,1,2,3,2,3,2,1,1,2,1,3,3,2,2
1,2,1,2,2,2,2,2,5,5,3,2,1,2,1
2,3,3,2,2,3,1,3,5,2,2,2,1,1,2
1,2,2,1,2,2,2,3,5,5,3,2,2,2,3
2,1,3,2,2,2,1,3,3,2,3,2,3,2,2
1,2,3,3,3,1,2,2,2,3,3,1,3,2,1
1,3,3,2,2,2,1,2,2,2,2,1,3,2,2
3,2,1,1,2,1,2,1,1,1,1,2,3,2,2
2,1,2,2,3,2,2,2,1,2,2,1,2,2,2
3,2,3,2,3,2,1,1,1,3,1,1,3,2,1
3,3,2,2,2,1,2,1,1,2,1,1,2,1,3
3,2,1,1,2,3,2,1,1,1,2,2,1,1,1
1,1,2,5,5,3,3,2,2,2,2,3,1,1,3
2,2,3,5,2,2,2,3,2,2,2,2,2,2,2
3,2,2,5,5,3,1,3,3,2,2,1,3,3,2
2,2,2,2,2,2,2,3,2,1,2,2,2,3,1
1,1,2,2,2,2,1,3,3,2,2,3,2,1,2
2,1,2,3,3,1,2,2,2,3,2,2,2,3,2
1,2,1,2,2,2,1,2,2,2,1,3,1,3,3
3,2,1,1,2,1,2,1,1,1,1,2,2,3,2
2,1,1,1,3,2,2,2,1,2,1,2,1,3,3
3,2,2,2,3,2,1,1,1,3,2,1,2,2,2
2,3,3,3,2,1,2,1,1,2,2,2,1,2,2
2,2,2,2,2,3,2,1,1,1,3,1,2,1,1
3,2,3,2,2,3,3,2,2,2,3,2,2,2,1
2,1,2,2,2,2,1,1,5,5,2,2,1,1,1
3,2,3,2,1,1,2,2,5,2,1,1,2,1,1
2,3,2,1,3,2,3,2,5,5,1,3,2,1,1
2,2,1,1,1,1,2,2,2,2,2,3,3,2,2
1,1,1,1,3,1,1,1,1,2,3,2,1,1,3
1,2,2,2,2,2,2,1,2,1,3,1,2,2,2
1,3,3,3,2,2,1,2,1,1,3,2,3,2,3
1,2,2,3,1,3,3,2,2,2,3,5,5,2,2
1,1,2,2,2,3,2,1,2,1,2,5,2,2,3
2,2,2,2,1,3,3,2,2,1,3,5,5,2,2
3,1,3,1,2,5,5,3,2,1,2,3,2,2,2
2,2,2,2,1,5,2,2,1,2,1,3,3,3,1
3,2,2,1,2,5,5,1,1,3,1,3,2,2,2
2,1,3,2,2,2,1,2,1,2,2,1,1,2,1
1,2,3,2,1,1,1,3,2,1,3,2,2,3,2
2,1,2,1,2,1,1,2,2,2,2,3,2,3,2
3,1,2,3,2,1,1,1,3,2,2,2,2,2,1
2,2,2,3,3,2,2,2,3,2,2,1,1,2,3
2,1,2,2,1,2,1,1,1,2,3,2,1,2,3
1,2,3,2,1,1,2,1,1,3,2,2,3,2,1
2,1,2,2,5,5,3,3,3,2,2,1,3,3,2
1,2,1,2,5,2,2,2,2,1,2,2,2,2,3
2,2,2,1,5,5,1,3,3,2,2,1,2,2,2
2,1,1,1,3,2,2,3,3,3,3,2,1,1,1
1,2,2,2,5,5,2,3,3,2,2,2,2,1,2
3,2,2,1,5,2,2,2,1,1,2,1,1,1,3
3,3,2,1,5,5,1,1,2,2,3,2,5,5,2
2,1,2,1,2,1,3,2,3,2,3,2,5,2,1
1,2,1,2,1,1,1,5,5,2,2,3,5,5,2
