v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
2,1,2,1,2,1,3,2,3,5,3,2,1,1,5
1,2,1,2,1,5,5,1,2,2,2,5,2,5,1
2,2,2,5,1,1,3,1,3,1,5,5,2,1,3
2,1,2,2,2,2,2,2,2,1,2,3,3,2,2
1,2,5,1,3,3,2,2,1,2,5,2,1,1,3
3,3,2,2,5,3,5,3,3,2,5,1,2,3,2
3,2,1,3,2,1,2,1,2,1,3,2,3,2,3
2,1,5,2,3,2,3,3,2,3,2,3,2,5,2
1,2,1,3,2,2,2,1,5,1,5,1,2,3,1
2,2,1,1,2,1,1,3,2,2,1,2,2,2,2
1,2,2,2,3,3,3,2,5,3,1,5,3,2,3
5,2,3,4,2,2,2,5,2,2,2,3,2,2,2
2,1,3,3,1,3,3,2,5,2,5,3,3,3,2
2,1,3,5,2,5,5,3,3,1,2,2,2,2,2
3,2,3,1,2,3,2,2,2,2,1,2,2,5,1
3,1,2,5,2,5,1,1,2,5,5,5,1,2,1
3,5,3,2,1,1,2,2,3,2,2,2,4,1,2
2,1,2,1,3,2,3,5,3,5,1,5,5,3,2
2,2,1,5,5,1,2,2,2,5,2,5,1,2,1
1,3,1,1,3,1,3,1,5,3,2,1,3,3,2
2,2,2,2,2,2,2,1,2,3,3,2,2,2,3
1,1,3,3,2,2,1,2,2,2,1,1,3,2,2
1,2,5,3,1,3,3,2,1,1,2,3,2,3,2
1,3,2,1,2,1,2,1,3,2,3,2,3,2,1
2,2,3,2,3,3,2,3,2,3,2,5,2,3,2
2,3,2,2,2,1,2,1,5,1,2,3,1,2,3
1,2,2,3,2,1,1,2,1,3,3,5,2,2,2
2,4,2,5,5,5,2,3,3,3,2,2,3,1,1
2,2,2,5,2,5,1,2,2,3,2,2,2,1,2
1,1,2,3,2,3,2,3,2,3,2,5,5,1,3
2,1,2,3,3,1,1,5,2,5,1,2,1,5,2
1,2,2,2,1,3,1,1,1,2,3,2,1,1,1
3,2,1,1,2,2,2,2,1,2,3,3,2,2,2
2,1,3,2,3,2,2,1,5,2,2,1,1,3,1
5,2,5,2,5,1,3,3,2,1,1,2,2,2,2
2,2,3,2,2,2,1,2,5,3,2,3,2,3,2
5,1,2,1,1,3,3,2,2,2,3,2,2,2,1
5,1,1,3,3,2,1,2,1,1,1,2,3,1,2
2,1,2,5,5,2,5,1,2,5,1,3,2,2,1
1,2,3,3,3,2,2,2,3,3,3,2,2,3,1
1,3,3,1,1,2,3,5,2,5,2,1,2,2,2
1,2,2,2,2,1,3,2,1,3,3,2,5,2,1
2,1,1,2,2,1,5,5,2,5,3,3,3,1,2
2,2,1,5,1,2,3,2,2,5,3,2,2,2,1
3,5,2,2,2,1,2,4,2,2,1,1,2,1,2
3,2,3,1,5,5,3,2,1,1,2,2,3,2,2
2,3,2,5,5,1,2,1,3,5,3,2,3,2,1
1,2,1,1,1,2,1,5,5,1,2,2,2,1,2
1,1,2,1,1,3,1,1,3,1,5,1,2,3,2
2,2,3,3,3,2,2,2,2,2,2,1,2,3,3
3,3,2,2,2,1,3,3,2,2,1,2,5,2,1
3,2,1,3,3,2,2,3,1,3,3,2,1,1,2
3,3,2,3,3,3,2,1,2,1,2,1,3,2,3
2,2,3,3,3,2,2,3,2,2,5,2,2,2,2
2,2,2,2,1,3,1,5,3,2,5,2,5,5,2
1,1,1,1,2,2,2,5,2,1,2,1,2,1,1
2,1,2,2,3,2,1,3,3,2,2,1,1,3,3
1,1,3,1,2,1,2,2,2,3,2,1,2,3,3
1,1,2,1,1,2,1,2,2,2,1,2,3,3,3
1,1,1,2,2,1,2,1,1,1,1,3,3,1,1
2,2,2,2,1,2,2,2,1,2,1,2,2,2,2
1,2,1,1,1,2,1,5,1,3,2,1,1,2,2
1,1,3,5,2,1,2,1,5,2,2,2,1,1,1
1,2,5,3,3,3,2,5,1,1,3,2,2,2,2
2,3,3,5,1,3,3,2,2,2,3,2,3,1,1
3,3,1,1,2,2,1,1,3,1,2,3,2,2,2
2,2,2,2,3,1,2,2,2,2,1,2,1,1,1
1,1,2,2,1,2,3,2,3,2,1,1,2,1,1
2,1,1,1,2,1,2,2,2,2,2,2,3,3,3
2,2,2,2,3,3,2,2,3,1,3,3,2,2,2
2,3,1,1,2,2,1,2,2,2,3,2,5,3,3
3,2,2,2,1,3,2,2,2,1,3,3,2,3,3
2,1,1,1,2,3,3,3,1,2,2,2,3,3,3
1,2,1,1,3,3,2,2,2,1,2,2,2,2,1
2,3,3,3,2,5,1,2,1,2,1,1,1,1,2
2,2,2,2,1,2,1,3,2,2,2,5,2,2,3
2,1,3,3,2,3,2,3,2,1,5,5,3,5,2
2,2,3,3,3,2,2,5,5,2,1,1,2,5,1
2,2,3,3,2,1,1,2,3,2,1,1,1,2,2
2,2,2,1,1,2,1,5,3,3,2,2,2,2,1
2,1,1,2,2,3,2,3,2,2,3,2,2,2,2
1,3,2,3,2,2,3,2,3,1,3,3,2,2,2
1,1,1,2,2,2,2,2,2,2,3,2,1,2,1
1,3,1,1,1,2,2,2,2,1,3,3,2,2,1
2,2,2,2,1,2,3,3,1,2,2,2,3,2,1
3,2,2,1,2,1,2,2,2,1,2,2,2,1,2
3,1,3,3,2,1,1,2,1,2,1,1,1,5,3
2,2,3,2,1,5,1,3,2,2,2,5,2,1,2
2,1,3,3,5,2,2,3,5,1,1,1,3,2,1
1,2,2,2,3,3,3,2,5,2,1,5,2,2,2
2,1,2,2,2,2,2,2,3,2,1,1,1,3,2
3,1,3,3,2,3,2,2,3,3,2,2,2,3,2
2,2,3,2,1,2,2,2,2,1,1,3,1,2,3
2,1,3,3,2,3,2,1,1,2,2,2,2,1,2
1,2,2,2,3,2,1,3,2,3,2,3,2,1,1
2,1,2,2,2,1,1,1,1,2,2,2,2,2,2
1,2,1,1,1,1,1,3,1,1,1,1,2,3,2
2,2,2,1,2,2,2,2,2,2,1,2,1,3,2
2,1,1,1,3,3,3,5,2,1,2,1,1,3,2
1,2,1,1,2,2,3,1,3,3,2,2,2,3,2
3,2,1,1,1,2,2,2,3,2,1,2,1,2,2
3,3,2,5,5,2,5,1,3,3,2,2,1,3,2
2,1,1,3,1,3,2,2,2,2,3,2,1,2,5
1,2,2,2,2,2,2,1,2,2,2,1,2,1,1
2,3,2,3,2,2,1,2,5,5,5,1,3,5,1
3,2,2,2,1,3,2,2,2,1,2,1,2,2,2
1,2,3,1,2,3,2,1,5,1,3,2,1,3,3
1,3,2,2,1,2,5,2,1,5,2,2,2,2,3
3,2,2,3,1,2,3,2,5,1,1,3,2,2,2
2,1,2,2,2,2,3,3,2,2,2,3,2,2,2
3,2,2,2,1,2,2,1,2,1,1,5,2,3,1
3,3,3,1,2,3,2,5,1,2,5,1,3,2,2
3,2,2,2,1,2,2,2,2,3,3,3,2,2,3
1,1,2,1,2,1,2,3,2,2,2,2,1,2,2
2,2,3,2,2,2,1,3,2,1,3,3,2,2,2
3,2,3,2,1,1,1,3,2,2,3,3,3,3,1
2,2,2,1,2,2,2,3,2,2,3,3,2,2,2
1,1,2,3,2,2,1,2,2,2,2,1,5,2,1
2,1,2,3,3,2,5,3,2,1,1,2,2,3,2
1,2,2,2,5,2,1,2,1,3,2,3,2,3,2
3,2,1,1,2,1,2,1,5,1,5,2,2,2,1
2,1,3,2,3,5,3,5,1,3,1,5,5,2,3
2,2,2,2,2,1,2,2,2,2,2,2,1,2,3
2,2,3,2,2,2,1,3,3,2,2,1,2,2,2
2,1,2,1,1,2,2,2,3,1,3,3,2,1,1
2,1,1,3,3,1,3,2,1,2,1,2,1,3,2
2,1,2,3,3,3,2,3,2,3,3,2,2,2,3
1,2,3,3,3,2,3,2,2,2,1,2,1,1,1
1,3,3,1,1,2,2,2,3,2,1,1,2,1,1
1,2,5,5,2,2,2,2,2,2,2,2,3,3,3
2,1,5,2,2,3,5,1,1,2,3,2,2,2,2
2,2,5,5,1,2,2,1,2,1,3,2,1,3,3
3,2,2,2,2,2,1,2,1,1,3,2,2,3,3
3,2,3,1,1,3,2,2,2,2,3,2,2,3,3
2,3,2,2,2,3,2,1,2,1,2,2,2,2,1
1,2,1,1,1,2,1,2,2,1,3,2,1,1,2
1,1,2,1,1,2,3,3,2,1,2,1,3,2,3
2,2,3,3,3,2,3,2,5,5,1,1,1,1,2
3,3,2,2,2,2,2,1,5,2,1,1,3,1,1
3,2,1,3,3,1,1,2,5,5,2,2,2,2,2
3,3,2,3,3,3,2,3,2,1,3,3,2,2,1
2,2,3,3,3,1,1,2,2,2,2,3,1,3,3
2,2,2,2,1,3,1,2,1,3,2,1,2,1,2
1,1,1,1,2,2,2,2,3,2,2,3,2,2,2
2,1,2,2,3,2,2,3,2,3,1,3,3,2,2
2,2,1,2,2,2,1,2,3,3,3,1,2,1,2
2,1,2,1,1,1,1,3,3,1,1,2,3,2,2
3,2,2,2,1,2,1,2,2,2,2,3,2,3,2
3,2,1,5,5,3,2,1,1,2,2,1,2,2,1
2,1,2,5,2,2,2,2,1,1,1,2,1,1,1
2,3,2,5,5,1,3,2,2,2,2,5,5,2,1
2,3,3,2,2,2,3,2,3,1,1,5,2,3,2
2,2,1,1,3,1,2,3,2,2,2,5,5,2,2
1,1,2,2,2,2,1,2,1,1,1,2,1,1,3
3,2,3,2,3,2,1,1,2,1,1,3,2,2,3
1,1,2,2,2,2,2,2,3,3,3,2,3,1,2
3,1,1,1,1,2,3,2,2,2,2,1,2,2,1
2,2,2,1,2,1,3,2,1,3,3,2,3,2,1
2,2,1,2,1,1,3,2,2,3,3,3,2,2,2
1,3,3,2,5,5,3,2,2,3,3,2,3,1,3
2,3,2,1,5,2,2,2,2,2,1,1,2,2,3
1,3,3,2,5,5,3,2,1,1,2,2,2,1,3
2,2,2,3,2,1,5,5,3,2,3,2,1,2,2
1,2,2,2,1,2,3,2,1,1,2,2,2,1,2
2,1,1,1,1,3,3,5,3,1,1,1,1,2,1
2,2,1,2,1,2,2,2,2,2,2,1,2,2,2
1,1,1,3,2,1,3,3,2,2,1,2,2,1,1
2,1,1,2,2,2,2,3,1,3,3,2,1,2,1
2,1,1,1,3,2,2,2,2,3,2,1,3,2,1
3,2,2,2,3,2,2,2,1,3,3,2,3,3,2
1,2,1,1,1,2,3,1,2,2,2,3,1,2,1
1,1,2,1,1,3,2,2,1,2,2,2,2,2,1
2,2,3,3,3,2,2,3,1,3,3,2,3,2,1
3,2,2,2,2,1,2,2,2,3,2,1,2,1,2
3,2,1,3,3,2,2,2,1,3,3,2,1,1,3
3,2,2,3,3,3,3,1,2,2,2,3,2,1,2
3,2,2,3,3,2,2,2,1,2,2,2,3,2,1
2,2,2,2,1,1,2,1,2,1,1,1,2,2,2
3,2,1,1,2,2,3,2,2,2,1,2,1,3,2
5,5,3,2,3,2,3,2,1,5,5,3,2,3,2
5,2,1,1,2,2,2,1,2,5,2,2,1,2,3
5,5,3,1,1,1,2,3,2,5,5,1,2,1,2
2,2,2,2,2,1,2,3,3,2,2,2,2,1,1
3,3,2,2,1,2,2,2,1,1,3,1,2,2,2
2,3,1,3,3,2,1,1,2,2,2,2,2,3,2
2,1,2,1,2,1,3,2,3,2,3,2,1,3,2
3,2,3,3,2,2,2,3,2,2,5,5,1,3,2
2,2,2,1,2,1,1,1,2,3,5,2,2,3,2
2,3,2,1,1,2,1,1,3,2,5,5,1,2,2
2,2,2,2,2,3,3,3,2,2,3,1,1,3,2
1,1,2,3,2,2,2,2,1,2,2,2,1,2,1
1,2,1,3,2,1,5,5,2,2,2,1,2,1,1
2,1,1,3,2,2,2,2,3,3,1,2,3,1,1
2,2,2,3,2,2,3,5,2,2,2,1,2,2,2
1,2,1,2,2,2,2,1,1,2,1,2,1,3,3
2,2,1,3,2,1,1,2,2,3,2,2,2,2,3
3,2,1,2,1,3,2,3,2,3,2,5,5,2,2
2,1,2,1,1,1,1,2,2,2,1,5,2,2,2
1,1,3,1,1,3,1,1,1,2,3,5,5,3,1
2,1,5,5,2,2,5,5,1,2,3,3,3,2,2
3,2,5,2,3,2,1,2,2,2,2,1,2,2,3
2,2,5,5,3,1,1,5,2,1,1,2,1,2,2
2,1,3,2,1,2,1,2,1,3,2,3,2,2,2
2,3,2,2,3,2,2,2,2,2,2,2,3,3,1
3,2,3,1,3,3,2,2,2,3,2,2,2,2,2
2,2,2,2,3,2,1,2,1,2,1,1,1,2,1
2,2,2,1,3,3,5,5,1,1,3,3,2,3,2
3,3,1,2,2,2,2,2,1,2,3,3,2,3,2
2,2,2,1,2,2,5,5,2,3,3,3,2,2,1
1,2,1,2,1,1,1,1,3,3,1,1,5,5,3
1,3,2,2,2,1,2,1,2,2,5,5,5,2,3
2,3,2,1,1,1,3,2,1,1,5,2,5,5,2
3,2,1,2,1,1,2,2,2,1,5,5,2,1,1
2,2,3,2,1,1,1,3,2,2,2,2,1,3,2
2,2,3,3,2,2,2,3,2,3,1,1,2,2,3
2,2,2,1,1,5,5,2,3,2,2,2,5,5,1
2,1,1,2,2,5,2,1,2,1,5,5,5,2,1
1,3,2,3,2,5,5,1,1,2,5,2,5,5,3
1,1,1,2,2,2,2,2,2,3,5,5,2,2,2
3,3,3,2,2,3,1,3,3,2,2,2,1,3,3
2,2,2,1,2,2,2,3,2,1,3,3,2,3,3
1,3,3,2,2,2,1,3,3,2,3,3,2,3,3
2,3,3,3,3,1,2,2,2,3,3,3,2,2,1
2,3,3,2,2,2,1,2,2,2,2,1,1,1,2
2,2,1,5,5,1,2,1,1,1,1,2,3,2,3
1,1,2,5,2,2,2,2,1,2,2,3,1,1,2
3,2,3,5,5,2,1,1,1,3,1,2,3,1,1
1,1,2,2,2,1,2,1,1,2,1,1,2,2,2
3,1,1,1,2,3,2,1,1,1,2,2,2,2,1
2,2,2,1,2,3,3,2,2,2,2,1,1,3,3
2,2,2,3,2,1,2,1,2,1,1,1,2,1,2
1,3,1,3,3,2,2,1,1,3,3,2,2,2,2
2,1,2,2,2,3,2,1,2,3,3,3,3,2,2
3,3,1,2,2,2,1,2,3,3,5,5,2,1,2
2,1,2,1,1,1,5,5,3,1,5,2,3,2,2
2,1,2,2,1,2,5,2,2,2,5,5,2,3,2
2,5,5,1,1,3,3,5,1,2,2,1,2,2,1
2,5,2,1,1,2,2,2,1,1,1,2,1,1,1
1,5,5,1,1,1,3,2,2,2,2,3,1,2,1
1,3,3,2,2,2,3,2,3,1,1,2,1,3,2
2,3,1,1,3,1,2,3,2,2,2,1,1,2,2
1,2,2,2,2,2,1,2,1,1,1,2,1,1,3
1,3,3,2,3,2,1,1,2,1,1,3,2,2,3
1,2,2,2,2,2,2,2,3,3,3,2,3,1,2
2,1,1,1,1,2,3,2,2,2,2,1,2,2,1
3,1,2,1,2,1,3,2,1,3,5,5,3,2,1
2,2,5,5,1,5,5,2,2,3,5,2,2,2,2
1,3,5,2,2,5,2,2,2,3,5,5,3,1,3
2,2,5,5,2,5,5,2,2,2,1,1,2,2,3
3,2,3,2,2,1,3,2,1,1,2,2,2,1,3
2,2,2,3,2,1,2,1,3,2,3,2,1,2,2
3,1,2,2,1,2,1,1,1,1,2,2,2,1,2
2,2,1,1,1,3,1,1,3,1,1,1,1,2,1
2,1,1,2,1,2,2,2,2,2,2,1,2,2,2
1,2,1,3,2,1,3,3,2,2,1,2,2,1,1
2,1,1,2,5,5,2,3,5,5,3,2,1,2,1
1,5,5,1,5,2,2,2,5,2,2,1,3,2,1
2,5,2,2,5,5,2,2,5,5,3,2,3,3,2
2,5,5,1,1,2,3,1,2,2,2,1,3,2,3
1,2,2,1,1,3,2,2,1,2,2,2,3,2,2
3,2,3,3,3,2,2,3,1,3,3,1,3,3,2
3,3,2,2,2,1,2,2,2,3,2,2,3,2,1
2,1,1,3,3,2,2,2,1,3,3,1,3,3,2
1,2,2,3,3,3,3,1,2,2,2,2,2,2,3
2,3,2,3,3,2,2,2,1,2,2,1,2,2,2
1,2,2,2,1,1,2,1,2,1,1,2,1,1,1
1,2,5,5,2,2,3,2,5,5,1,2,5,5,2
3,2,5,2,3,2,3,2,5,2,1,1,5,2,3
3,3,5,5,2,2,2,1,5,5,1,2,5,5,2
2,1,3,1,1,1,2,3,2,1,1,2,1,1,1
1,2,2,2,2,1,2,3,3,2,2,3,2,2,2
2,3,2,2,1,2,2,2,1,1,3,1,1,3,1
2,2,1,3,3,2,1,1,2,2,2,2,2,2,2
2,2,2,1,2,1,3,2,3,2,3,3,2,3,2
1,1,3,3,2,2,2,3,2,2,2,2,2,2,2
3,3,2,1,2,1,1,5,5,3,1,1,1,1,2
3,3,2,1,1,2,1,5,2,2,2,2,1,2,1
3,5,5,2,2,3,3,5,5,2,3,1,2,1,1
1,5,2,3,2,2,2,2,1,2,2,3,2,2,2
2,5,5,3,2,1,3,3,2,2,5,5,1,2,1
2,2,1,3,2,2,3,3,3,3,5,2,2,2,1
1,1,2,3,2,2,3,3,2,2,5,5,3,2,1
2,2,1,2,2,2,2,1,5,5,1,2,2,1,2
1,1,1,3,2,1,1,2,5,2,2,1,1,1,3
2,2,1,2,1,3,2,3,5,5,2,1,2,1,2
1,1,2,1,1,1,1,2,2,2,1,1,3,2,1
1,1,3,1,1,3,1,1,1,2,3,1,2,2,2
3,3,5,5,2,2,5,5,1,2,3,1,1,3,2
2,2,5,2,3,2,5,2,2,2,2,2,2,3,2
3,3,5,5,3,1,2,5,2,1,1,1,1,1,2
3,3,3,2,1,2,1,2,1,3,2,2,1,1,3
3,3,2,2,3,2,2,2,2,2,2,3,3,3,2
2,1,3,1,3,3,2,2,2,3,2,2,2,2,1
1,2,2,2,3,2,1,2,1,2,1,1,3,3,2
2,3,2,1,3,3,2,2,1,1,3,2,3,3,3
1,2,1,2,2,2,3,2,1,2,3,2,3,3,2
1,1,2,1,2,2,2,1,2,3,3,2,2,1,1
2,2,1,2,1,1,1,1,3,3,1,1,1,2,2
2,1,2,2,2,1,2,1,2,2,2,3,2,3,2
1,1,2,1,5,5,3,2,1,1,2,1,1,2,2
3,2,1,2,5,2,2,2,2,1,1,3,1,1,1
3,3,3,2,5,5,1,3,2,2,2,2,2,2,1
3,1,3,3,2,2,2,3,2,3,1,2,2,1,2
1,2,2,1,1,3,1,2,3,2,2,1,3,3,2
2,3,1,2,2,2,2,1,2,1,1,2,1,2,1
2,1,2,3,2,3,2,1,1,2,1,3,3,2,2
1,2,1,2,2,2,2,2,5,5,3,2,1,2,1
2,3,3,2,2,3,1,3,5,2,2,2,1,1,2
1,2,2,1,2,2,2,3,5,5,3,2,2,2,3
2,1,3,2,2,2,1,3,3,2,3,2,3,2,2
1,2,3,3,3,1,2,2,2,3,3,1,3,2,1
1,3,3,2,2,2,1,2,2,2,2,1,3,2,2
3,2,1,1,2,1,2,1,1,1,1,2,3,2,2
2,1,2,2,3,2,2,2,1,2,2,1,2,2,2
3,2,3,2,3,2,1,1,1,3,1,1,3,2,1
3,3,2,2,2,1,2,1,1,2,1,1,2,1,3
3,2,1,1,2,3,2,1,1,1,2,2,1,1,1
1,1,2,5,5,3,3,2,2,2,2,3,1,1,3
2,2,3,5,2,2,2,3,2,2,2,2,2,2,2
3,2,2,5,5,3,1,3,3,2,2,1,3,3,2
2,2,2,2,2,2,2,3,2,1,2,2,2,3,1
1,1,2,2,2,2,1,3,3,2,2,3,2,1,2
2,1,2,3,3,1,2,2,2,3,2,2,2,3,2
1,2,1,2,2,2,1,2,2,2,1,3,1,3,3
3,2,1,1,2,1,2,1,1,1,1,2,2,3,2
2,1,1,1,3,2,2,2,1,2,1,2,1,3,3
3,2,2,2,3,2,1,1,1,3,2,1,2,2,2
2,3,3,3,2,1,2,1,1,2,2,2,1,2,2
2,2,2,2,2,3,2,1,1,1,3,1,2,1,1
3,2,3,2,2,3,3,2,2,2,3,2,2,2,1
2,1,2,2,2,2,1,1,5,5,2,2,1,1,1
3,2,3,2,1,1,2,2,5,2,1,1,2,1,1
2,3,2,1,3,2,3,2,5,5,1,3,2,1,1
2,2,1,1,1,1,2,2,2,2,2,3,3,2,2
1,1,1,1,3,1,1,1,1,2,3,2,1,1,3
1,2,2,2,2,2,2,1,2,1,3,1,2,2,2
1,3,3,3,2,2,1,2,1,1,3,2,3,2,3
1,2,2,3,1,3,3,2,2,2,3,5,5,2,2
1,1,2,2,2,3,2,1,2,1,2,5,2,2,3
2,2,2,2,1,3,3,2,2,1,3,5,5,2,2
3,1,3,1,2,5,5,3,2,1,2,3,2,2,2
2,2,2,2,1,5,2,2,1,2,1,3,3,3,1
3,2,2,1,2,5,5,1,1,3,1,3,2,2,2
2,1,3,2,2,2,1,2,1,2,2,1,1,2,1
1,2,3,2,1,1,1,3,2,1,3,2,2,3,2
2,1,2,1,2,1,1,2,2,2,2,3,2,3,2
3,1,2,3,2,1,1,1,3,2,2,2,2,2,1
2,2,2,3,3,2,2,2,3,2,2,1,1,2,3
2,1,2,2,1,2,1,1,1,2,3,2,1,2,3
1,2,3,2,1,1,2,1,1,3,2,2,3,2,1
2,1,2,2,5,5,3,3,3,2,2,1,3,3,2
1,2,1,2,5,2,2,2,2,1,2,2,2,2,3
2,2,2,1,5,5,1,3,3,2,2,1,2,2,2
2,1,1,1,3,2,2,3,3,3,3,2,1,1,1
1,2,2,2,5,5,2,3,3,2,2,2,2,1,2
3,2,2,1,5,2,2,2,1,1,2,1,1,1,3
3,3,2,1,5,5,1,1,2,2,3,2,5,5,2
2,1,2,1,2,1,3,2,3,2,3,2,5,2,1
1,2,1,2,1,1,1,5,5,2,2,3,5,5,2
5,5,1,3,1,1,3,5,2,1,2,1,1,3,1
5,2,1,2,2,2,2,5,5,1,2,2,2,2,2
5,5,2,1,3,3,2,2,1,2,2,3,2,3,2
1,1,2,2,2,3,1,3,3,2,1,2,2,2,2
3,3,1,3,2,1,2,1,2,1,3,5,5,1,2
3,3,3,2,3,2,3,3,2,2,2,5,2,2,1
3,3,2,3,5,5,2,1,2,1,1,5,5,1,1
5,5,2,2,5,2,2,1,1,2,1,3,2,2,2
5,2,2,2,5,5,2,2,2,3,3,2,1,2,1
