@relation GermanCredit-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute RESPONSE {0,1}

@data
764928.145515,1492004.438916,934216.765248,-569570.353798,911383.10273,616544.35644,1435170.780035,-680061.920318,1030363.601376,602615.797887,0
324249.488011,627864.253194,383077.817407,-223442.549127,375354.308178,260616.916649,611948.369742,-286799.599056,440879.367595,246418.866515,0
2670443.357837,5237068.368734,3328320.009115,-2059994.112672,3244665.105507,2153550.359184,5007586.500375,-2379535.486851,3582989.801763,2153503.301001,0
507728.686584,979588.700798,610862.805162,-372546.25158,587508.995338,405848.877683,938347.052427,-444239.715425,674231.443775,384815.559112,0
156196.792429,298492.939305,171949.810845,-91447.708705,170301.558049,124893.081164,298285.116779,-137157.787511,216730.568597,110903.943243,0
837322.281604,1632700.372003,1022004.959609,-624780.402156,996583.545987,675063.350329,1570061.194162,-744869.28582,1127776.622354,658954.454558,0
65123.78163,121006.854722,57488.523129,-17866.494966,60949.064316,51768.959245,131261.800932,-56837.015995,97345.259282,38589.153277,0
382053.970364,741605.560283,453181.978499,-265930.750815,445339.928656,307501.791788,722525.23257,-339115.253736,520721.256642,293442.652225,0
382691.410376,743793.547668,456125.953392,-266593.721029,448020.699925,307637.801938,724189.44581,-339052.813828,520891.346339,295296.50136,0
134618.354051,255434.749034,143594.187884,-71444.365021,142879.515567,106945.520346,258278.240847,-117013.585544,187917.468644,92209.192055,0
1645261.862104,3218607.07951,2037652.46283,-1255848.767848,1983844.858239,1325002.336072,3080793.265105,-1462249.756999,2206027.536843,1314098.32753,0
549966.150268,1068043.875962,658904.526434,-395108.478912,644270.268279,443150.746009,1034202.523229,-488569.676442,744915.885089,424605.207328,0
2199876.389614,4307420.928241,2730621.878832,-1688192.044076,2659832.481007,1773396.950046,4120887.788199,-1958251.961468,2950804.28131,1763364.188749,0
834830.256947,1632021.885621,1021921.260259,-617273.249384,1000048.271006,671791.470614,1572912.21449,-742089.402715,1127711.000844,662425.422679,0
177759.414512,335609.325736,193447.789731,-104503.473781,187755.44097,140661.461513,332578.93373,-153176.895127,241840.927868,120916.909221,0
1717160.783584,3360497.307055,2122980.008763,-1306360.276869,2070795.870293,1384386.723949,3221391.598142,-1529108.799684,2308305.847712,1372342.900707,0
1820387.127843,3562285.722834,2250530.843448,-1386769.750972,2194547.062703,1467911.404988,3414015.464364,-1621523.265936,2446718.367595,1454521.792849,0
688406.934062,1337604.895055,831286.921016,-502134.431883,809706.385169,553495.726341,1289623.060103,-609444.767063,927047.681669,533928.025798,0
231532.117176,444816.6371,260839.547501,-141875.53876,258058.965219,185455.080982,441812.026081,-203827.37767,319938.779427,168579.556011,0
1855998.041876,3627228.144744,2293497.589221,-1416833.706032,2230485.853861,1495159.975304,3471088.337975,-1649720.438942,2487340.77224,1476790.162264,0
114901.609899,219017.431328,116588.311265,-48716.477571,120587.540197,91374.582663,229179.582921,-101079.388032,167261.315487,78073.291962,0
207284.374289,402362.966,232940.610255,-119752.693981,236336.391636,166484.808351,405784.645447,-184522.149888,293549.692167,155838.155341,0
104433.171653,200355.39705,103128.610105,-38135.986315,110202.91566,83398.901961,213970.175918,-93028.494626,156576.243907,71978.204828,0
488767.264588,949377.051336,580792.364122,-341490.89487,570423.260595,393300.191476,924527.053268,-434154.456863,666115.283513,376156.408292,0
763711.994847,1490696.332428,926511.771472,-555068.208094,908775.891219,615736.29444,1442362.334474,-680053.250623,1035987.663347,601022.190044,0
338608.197559,656091.005346,393852.281263,-222800.509944,389608.237065,272064.827854,645901.892152,-300406.410198,466237.996768,256359.813869,0
323234.618613,627119.047262,374852.355507,-208929.160523,372328.833359,259941.161358,619562.690962,-286995.522861,447053.059344,245327.427849,0
1345559.901125,2630283.330963,1651109.691902,-1009046.252082,1613441.569496,1085732.661193,2529757.398745,-1199649.989313,1815344.664734,1068471.629739,0
2117992.117427,4146804.329259,2620675.575018,-1614366.64802,2556807.598103,1708495.647501,3974480.203229,-1887431.062288,2847897.458953,1695463.696241,0
736283.641719,1438544.528438,891686.184311,-530933.082246,877075.290714,593469.78232,1394912.427264,-656294.347821,1002063.242135,580884.316061,0
606766.145765,1181414.946698,730950.525981,-432003.542853,716053.707848,487143.491208,1145344.850461,-537162.711416,822282.467878,472496.90285,0
212394.863519,411922.846388,236310.506252,-120090.486095,240194.854691,170702.5689,416877.04652,-189422.595469,302043.942834,158539.573701,0
186954.870099,360595.1806,203659.082311,-98937.035586,207307.992477,149664.429634,367683.521721,-165597.879726,266622.654776,135807.602422,0
153105.445077,295517.357687,161455.765419,-71578.923524,167745.221417,122299.946118,306802.80606,-136027.750345,223096.678021,110294.148942,0
1120906.049073,2193824.673589,1374234.175503,-830350.955972,1346803.92344,903528.515857,2115401.366234,-998607.71884,1516647.380244,892832.543795,0
204672.711197,395960.739984,223902.294999,-110698.052798,228964.657643,164949.209108,403888.987548,-183114.487441,293406.912402,150452.416433,0
799749.996432,1561531.539788,967981.026467,-577649.368643,951322.538042,645266.068047,1513632.471855,-713142.748244,1087723.104371,629444.716224,0
419519.724247,816442.977581,491681.508699,-279056.549592,488718.108582,338066.075226,804268.280572,-374443.396999,580264.066872,322843.918881,0
430591.806362,840077.519014,507659.425897,-286770.254509,505380.178084,346902.420895,827749.164822,-384460.89237,596108.258395,334237.735756,0
615607.178685,1196721.475956,735581.776492,-434265.940837,721192.686105,495082.64948,1162812.191472,-546254.73359,836714.966328,475702.110701,0
2713509.317191,5305246.294573,3360365.040616,-2080500.775865,3267803.61633,2186073.731316,5072895.247339,-2412226.345422,3634235.714607,2163973.798169,0
1397344.191319,2729518.644394,1712835.707119,-1045997.385023,1671782.922635,1125697.181573,2624023.527175,-1243282.245193,1882700.293473,1106990.152163,0
2624945.608597,5135923.277032,3253466.575673,-2009287.842685,3166928.349626,2115009.945235,4914075.74693,-2334446.975048,3519056.038641,2097987.62821,0
2370980.542436,4644503.303982,2938149.794946,-1806213.652253,2867486.133779,1911275.928298,4451742.710244,-2111526.631403,3187761.987709,1901547.138059,0
203023.239915,388502.211938,218719.72221,-106808.257032,220308.532405,161413.168278,394600.876261,-177667.7038,286450.490109,143519.677131,0
1568034.566361,3070671.123228,1929176.153473,-1173051.973823,1888983.508865,1264415.757481,2955754.829619,-1397984.955632,2118747.371444,1252891.121723,0
345816.757036,673971.742673,397040.607742,-213418.719286,400988.536678,278773.300845,673971.143051,-309725.159788,487067.839923,265298.977222,0
143743.891034,277358.982881,144536.527316,-55245.63523,154637.244684,115473.800248,295338.059508,-128931.464799,215765.862147,101545.891051,0
397438.878849,771001.22564,461597.698997,-256138.944206,458260.742684,318993.026848,761767.963924,-352125.272385,549102.603453,301491.158437,0
227677.366784,439370.990707,247890.878394,-122277.608364,252267.228144,182572.991075,447404.151985,-202392.557953,324940.209138,165877.318359,0
447220.303694,872228.512835,525006.849363,-292952.172837,523634.153213,359991.034445,861592.338895,-398717.182271,620390.33403,346225.478069,0
163712.897072,315006.930011,168091.655009,-70761.07609,176135.26202,131115.030503,330207.777766,-145792.241748,240942.830132,115643.100236,0
477704.127729,934131.618902,562633.785555,-313849.850147,563421.719445,384749.483012,923593.685635,-427138.767185,664974.29069,373646.112423,0
196922.256124,373984.081783,207176.834257,-98781.611205,207811.708429,155711.464776,381279.148519,-171086.19618,277527.820152,134517.90744,0
2059915.851609,4036158.8925,2543951.30658,-1553504.345398,2489060.955178,1661200.562633,3878969.623388,-1836607.08665,2779027.757306,1651019.623355,0
240923.915763,469350.035666,265050.34446,-126947.932402,274331.341214,194000.183317,481337.967875,-216125.070868,348779.335168,181560.145155,0
80140.183452,152874.059972,62609.216086,-1215.300022,76411.660234,64126.045377,179349.273124,-72657.468242,133082.728312,49788.079413,0
104053.272695,196730.060922,91634.373832,-21204.261699,101374.228894,82476.26293,218127.474727,-91576.671716,160697.182382,65389.794101,0
909659.058487,1775506.685331,1096851.377245,-651173.960173,1079324.828003,733460.191113,1724343.574342,-811301.828338,1239824.458566,714106.183335,0
310183.576638,599786.192864,346607.91907,-182172.482084,349339.298214,249333.782139,603135.351005,-276437.754258,437528.005815,229860.711854,0
255674.6331,488381.818814,279217.186605,-142916.863886,277561.133012,202606.59372,490500.755035,-222606.404163,355725.483169,180815.909714,0
856450.385028,1674683.61711,1033264.832133,-607865.000279,1019779.010765,690047.07938,1629994.670703,-764261.941549,1171016.931075,675798.256518,0
593094.624813,1158182.293812,704242.973301,-401362.589953,699732.669646,477265.132862,1137322.971009,-528711.982562,818082.499504,463288.87722,0
272876.589553,529385.372853,300287.193554,-148985.238049,307395.852282,219699.491452,539510.215954,-244422.881231,391540.30602,202860.893302,0
534450.322826,1044753.187816,628520.867474,-351639.053373,629519.757609,431203.006136,1033349.90644,-478881.720359,744667.151229,417298.790529,0
46265.072325,88988.197477,18960.979316,30916.667565,37744.622133,37091.409046,122898.836775,-43814.318943,92698.151823,25192.510216,0
84930.367358,163825.170177,67168.853386,251.933412,83326.380451,68131.329061,193380.061205,-77713.826286,143010.542834,54907.260875,0
196315.799261,379111.993626,204538.664018,-88066.318343,214349.868271,157714.528178,396269.556851,-175467.55272,288718.646522,141000.000554,0
539720.678361,1054557.72461,634971.975405,-356216.956609,634673.97353,434630.707511,1041636.776466,-482662.149605,750445.054442,420956.625421,0
191339.732808,367872.1303,198465.20895,-84232.308366,206472.064651,152413.232876,384011.187541,-169122.023648,279377.705453,135085.46133,0
1502931.497226,2939643.611653,1839258.861538,-1110619.961109,1802404.089742,1210974.901229,2835629.567552,-1338502.048628,2033811.260734,1194238.327823,0
513725.769713,1005715.955328,601118.53493,-331233.846087,605438.80843,414673.93395,999300.007318,-461374.104691,720475.400294,402193.942049,0
1631077.543393,3193551.761117,1999478.842367,-1208256.704172,1961436.535503,1315664.295691,3081487.580527,-1455419.740615,2210006.722473,1300321.869554,0
539011.354821,1052987.154752,631896.005113,-351954.829868,632846.576262,434641.983582,1042462.757118,-482571.438626,751381.570435,419441.956578,0
189847.345014,364684.007961,192728.413141,-79163.186893,202831.939735,152090.061248,384064.557801,-169227.951558,280677.261543,132813.75449,0
184753.473367,358138.494134,187133.322921,-73462.453343,200980.696216,148911.577483,381167.396822,-167244.513086,278737.909,132899.188347,0
202746.811487,395428.075221,212020.458634,-86994.131112,226461.659829,163460.627491,417337.717428,-183327.879613,303654.162896,150309.586995,0
1226446.977792,2402429.519773,1494703.483417,-889380.006975,1472463.982575,988671.246183,2328878.47583,-1094610.887836,1670591.832517,976764.88174,0
100565.166208,194771.608798,83371.8671,-6073.918022,101239.416738,81025.445646,226675.362051,-92415.532884,167354.877989,66946.790748,0
1276530.550126,2498861.298773,1552792.540931,-926923.098542,1529240.021398,1029932.331088,2422145.131923,-1140366.224158,1739107.942193,1014329.43326,0
548189.300172,1072939.801399,642984.482896,-354939.645243,646425.517041,442249.331063,1064627.638712,-491498.909024,766972.464202,429091.940668,0
1283577.540625,2504076.604575,1558183.851356,-936988.656277,1525219.855935,1033251.003019,2419095.679085,-1141201.430882,1737310.917981,1008984.902914,0
387534.363561,752789.132331,437325.782107,-230226.422535,442693.012684,312335.516006,756961.641282,-346829.069515,548319.862447,292393.40874,0
445091.461859,869866.561089,512677.12273,-273198.144301,519553.390748,358574.302002,871214.068888,-399023.879399,628844.789312,344682.574043,0
389552.86403,758003.480591,441226.889583,-230755.665237,447059.486602,313425.455821,762439.073804,-348219.144375,551422.373179,295684.591718,0
1396967.832157,2730108.328934,1700359.495082,-1020897.473308,1668327.949712,1125967.088776,2639799.021462,-1244892.744057,1895105.27237,1104712.278605,0
240399.678149,469417.633178,256005.759106,-110601.065369,271391.561145,193744.211129,491504.476628,-217293.370212,357143.216541,180141.687762,0
1131837.380207,2215662.26686,1371012.358575,-810496.89526,1353213.266792,912865.290825,2153706.02107,-1011125.074495,1546667.755017,897724.272698,0
488251.335898,953261.730673,565519.287414,-305704.053598,569891.203405,393276.794183,950573.492771,-436781.776459,685558.689725,377472.596513,0
209302.125789,402082.616459,213957.745597,-89629.955187,223592.93648,167432.663582,421785.272829,-186263.228023,307855.645115,146456.9961,0
72693.050561,140396.640271,45157.963655,21675.729601,66714.214486,58767.243686,178549.12707,-68078.349901,133498.400032,44307.508638,0
1252196.160979,2448120.497001,1517951.999784,-904005.218928,1494059.863623,1009647.248214,2374366.702268,-1117313.592161,1705568.606015,989989.29761,0
200928.585625,392789.0492,205565.572465,-77015.427994,223893.06948,162179.416302,420552.072295,-182791.701274,306537.581586,148888.882363,0
377534.818376,737186.270544,425505.781563,-216947.47639,435528.604168,304188.638936,746890.339645,-339370.090098,540416.913564,288999.38881,0
881271.399673,1724836.120572,1056403.294148,-611725.468345,1048768.16077,710437.876132,1687419.468861,-787695.141759,1213124.0071,696118.221069,0
612911.384082,1198579.714995,719695.425856,-400803.071682,721663.314812,494218.247221,1186941.121186,-549294.795691,855371.733708,478753.276273,0
313419.240907,610518.429101,344798.878339,-166083.112484,356256.33372,252481.150219,625973.53071,-281673.085673,453750.59967,235699.20202,0
241950.780499,470939.130332,254305.554981,-109341.634227,269660.390689,195315.794909,494305.565391,-219110.537345,360193.932611,178642.565663,0
2246119.979284,4399998.334542,2765201.649252,-1681319.926992,2708421.95253,1811079.420852,4235367.979885,-2002957.439428,3035654.209566,1796902.981387,0
211263.013234,410165.996821,217063.230553,-85992.086762,231771.631437,169393.049263,434656.25496,-190044.937274,316678.984219,153282.14304,0
1205634.003096,2357858.22225,1458605.114236,-864791.640463,1438086.800189,972574.658028,2290570.572037,-1076732.418778,1645802.477554,953324.778519,0
552154.071258,1079985.5197,642667.991224,-350692.077442,648230.176693,445708.746088,1075990.394491,-495912.566725,776168.867219,429959.671441,0
476868.961086,929710.37385,545498.933404,-291851.997655,552168.165164,385049.880359,931696.830486,-428146.708204,673894.055285,365661.54509,0
150505.500436,290890.312338,138859.053176,-35499.029275,157068.469095,121002.600417,323098.111515,-136610.291224,237438.579293,103566.347854,0
397232.425431,772007.605378,445061.683312,-229281.924797,452840.827149,320051.380253,780394.810587,-355973.38806,565510.317641,299101.963737,0
329281.090777,644351.996143,363203.102606,-173193.347044,378483.309191,265677.246487,662893.358939,-297587.066771,480485.920093,251689.259597,0
184036.12245,352997.300763,179629.343537,-63178.090562,192696.624313,146746.508359,378876.957614,-163767.80178,277222.817072,125990.834554,0
377462.13381,730101.082719,422125.575681,-216823.77229,424970.966251,301560.218725,734988.642147,-333895.601168,531472.553667,279508.94673,0
453604.672418,887977.233692,517633.297004,-269365.713938,529393.097349,366580.377616,896118.51565,-408975.961029,647795.596182,351727.73102,0
207703.037483,400656.561239,208386.968194,-79717.640528,222693.059822,166496.029529,426753.28545,-186403.965106,311911.579282,146294.07688,0
125500.391674,243985.916206,108394.359692,-13371.968446,129485.540462,100453.986067,280388.054528,-114617.621288,206278.80504,86111.33099,0
219151.188194,427084.900531,223162.528683,-86077.987949,241864.333217,177106.438256,456153.508074,-199575.84457,333266.307329,160647.22034,0
738772.017529,1443306.779857,873657.507388,-494824.143373,871082.526892,595270.070043,1421277.604522,-660078.289087,1023328.232116,577285.28938,0
466372.732093,911081.246734,533563.565291,-280385.185255,541923.527874,375887.953549,915746.627723,-418438.389306,661351.550931,359384.951782,0
122796.738868,238317.04949,104034.561562,-10382.774038,125563.926255,98748.822505,275554.32082,-112479.687094,203126.751973,83303.722029,0
294451.108149,571672.533337,316149.515404,-145737.147866,329269.95165,236840.438245,591505.878951,-264475.712231,430084.56032,217535.425732,0
571641.087723,1116160.072397,662825.540528,-361744.735467,667790.295612,461550.357669,1112186.213371,-513013.655437,802895.565054,442212.919892,0
452931.238459,877410.081692,512173.884138,-272241.726879,514627.255314,363521.630805,878450.417954,-402774.638453,635740.795302,339010.947579,0
86632.91549,169783.400313,58336.043538,20576.801071,83949.096166,70144.270241,213443.546118,-82203.163248,158942.899878,56635.720427,0
185362.007253,357749.606692,180941.238968,-59970.45969,196839.077092,147627.945591,386549.752016,-165538.043833,282402.503442,129660.671394,0
284130.543484,555692.884999,304214.051662,-134081.663296,322120.423606,229770.493441,580752.412616,-257966.021718,422128.762853,214227.654764,0
585527.909594,1146128.70402,680172.91394,-369476.709164,687824.341636,472738.341691,1143768.318926,-526590.933507,825412.693538,456916.093705,0
235098.137628,457000.593517,241801.346965,-96160.03989,258862.393356,189366.064292,484553.516723,-212284.676163,353209.822222,171386.170754,0
678521.665659,1321278.021319,792664.971623,-445405.867436,790174.459123,546895.242204,1304992.848402,-605951.139842,941600.868436,522477.81652,0
441804.164507,854380.946032,498821.632156,-262973.091345,499669.222281,353206.932494,854899.123665,-390501.975586,617903.198022,328532.358356,0
214803.763742,420266.612579,217699.292065,-78034.37007,238427.7174,172890.599138,452420.817596,-195548.93857,329808.258025,158817.271703,0
241858.026863,467372.221402,248761.687167,-102022.743773,262603.704728,193503.209099,492266.285104,-216315.989984,358802.466917,172936.414897,0
313410.804966,614974.808859,340779.14797,-153353.900619,360223.483972,253231.876603,640169.346799,-284689.749157,464335.145383,240032.461812,0
199114.719651,388121.337848,195128.740981,-64318.304214,216896.53118,161009.81854,422771.340595,-182137.246398,309695.951447,144118.213475,0
756681.082268,1479666.992727,891215.819849,-501286.863737,892156.376708,610975.309517,1462109.408566,-678726.202744,1053852.719894,591824.444263,0
87718.247491,169463.934635,56157.568226,23065.842449,80814.607729,70790.526511,213820.889952,-82204.984709,159695.964505,53591.817822,0
804986.105598,1574922.818614,955353.202874,-540014.836235,953116.85707,648665.849578,1551033.221953,-719694.886454,1115607.289779,631923.877508,0
1423204.36133,2787411.102499,1726753.732212,-1023543.132543,1704541.117622,1148451.553242,2708051.809585,-1272437.286067,1944739.389998,1131349.284334,0
203530.984172,398509.271965,201708.877904,-65968.271736,224362.734568,164270.625414,433797.447493,-186083.829984,316829.59704,149767.965663,0
126383.640072,241878.811415,102042.845013,-7391.919659,122691.640354,101006.688073,280920.164434,-114813.947976,208203.010348,80319.690926,0
78472.136776,149138.331429,43848.841826,29824.157412,66513.460675,62341.37256,192312.770149,-71912.88951,144113.135062,43513.7738,0
