@relation 'AT: marketing_survey-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute 0.367v11+0.328v6+0.325v5+0.314v13+0.299v12... numeric
@attribute -0.555v3-0.448v4+0.316v11-0.313v2-0.283v5... numeric
@attribute -0.428v12+0.411v8-0.331v13-0.31v2+0.308v9... numeric
@attribute -0.398v2-0.371v10+0.366v6-0.344v9+0.321v5... numeric
@attribute -0.434v1-0.416v7+0.402v4-0.375v2+0.341v10... numeric
@attribute -0.723v14+0.326v11-0.323v13+0.286v12+0.252v7... numeric
@attribute '0.646v1-0.439v7+0.39 v5-0.237v3-0.196v8...' numeric
@attribute -0.427v4-0.419v1+0.365v2+0.355v10+0.337v6... numeric
@attribute 0.488v7-0.434v8+0.404v10+0.334v14-0.317v12... numeric
@attribute '0.55 v9-0.481v11-0.42v8+0.267v7+0.263v12...' numeric
@attribute -0.525v13+0.363v14-0.361v10+0.314v6+0.273v9... numeric
@attribute '0.503v5-0.366v6-0.356v13+0.295v12+0.29 v14...' numeric
@attribute '-0.48v11+0.43 v12+0.366v6+0.36 v10-0.273v5...' numeric
@attribute v15 numeric

@data
-1.227667,-0.455384,1.14335,0.135854,-0.791715,1.029869,0.942491,-1.07893,-0.671811,0.41741,-0.14028,-0.396054,0.712039,3
-0.862348,1.88382,-0.513565,1.277608,0.035553,-0.926482,-1.132272,0.041816,0.091848,0.233788,0.164051,0.138122,0.346676,2
-1.552379,0.72528,-1.010028,-0.176937,1.040175,-0.239906,1.236992,-1.093613,0.754167,0.436042,-0.801281,-0.59635,0.319028,1
-0.072525,0.565044,-1.386052,-0.07784,-0.260094,-0.802047,1.300156,-0.005812,0.974548,-1.729534,-0.45701,-0.571128,-0.529653,2
-0.978772,-0.872091,-1.677866,0.124838,0.709104,-1.652856,-0.625675,1.431808,0.259279,0.048137,-0.202491,0.629105,0.257314,3
0.282801,0.258911,-0.302672,0.779696,0.412557,-1.224327,-0.023264,1.83513,-0.145472,-0.715787,0.375249,0.129297,0.45969,2
-0.20495,0.33357,-0.937116,0.20881,0.711023,1.611375,0.535689,0.131996,-0.310563,-1.906659,0.004453,-0.258822,-1.143077,1
-1.16352,-0.108703,0.219126,-0.112207,-0.393606,0.344182,1.994678,0.79522,0.502474,-1.295147,-0.051813,0.210255,0.775507,2
-1.14824,0.010915,-1.150057,0.650152,-0.427181,-0.791693,0.422694,0.131777,-0.385309,0.243925,0.338293,1.127932,0.83903,2
-2.566902,-0.333998,0.46061,0.485184,0.404158,-0.349495,-0.003769,1.040295,-0.234591,0.026274,1.135657,0.05142,-0.247291,2
-2.532284,0.43783,-0.251114,0.03807,1.225688,0.60845,-0.554521,-0.150389,-1.152549,1.531982,0.876578,0.117257,-0.030537,1
-1.133177,-0.419272,-0.989489,-0.405639,-0.052794,0.045897,-0.008449,0.237,0.251474,0.586234,0.058275,0.438769,-0.643519,1
-1.490061,0.427282,-1.755714,-1.527443,-0.344308,0.902473,0.626655,0.306796,-0.168344,-0.889507,-0.700381,-0.18099,0.125096,2
-0.265629,1.661221,-0.94605,-1.485654,-0.034111,-1.602621,0.949073,-0.198676,0.89575,-1.727236,-1.863735,0.212195,0.543518,2
-0.783012,0.021745,-0.844398,-0.717649,0.198553,-0.998938,-0.581732,-0.231053,-0.874874,-0.598157,-0.483309,-0.729866,0.178244,1
-0.014201,-0.699438,-0.3422,-0.306356,-0.357513,-1.730052,0.937037,-0.592915,-0.107305,-0.864156,-0.405732,-0.945459,0.074704,2
-1.775271,0.254718,-0.834411,-0.318072,0.605831,-0.491306,0.542848,0.806205,0.004195,0.400207,-0.39731,0.425212,0.409529,3
-1.588594,0.32906,-0.579156,-0.859028,-0.249162,-0.453565,0.559295,1.139442,-0.01305,0.436892,0.837187,-0.738086,-0.522551,2
0.083151,0.543264,-0.021486,0.380629,-0.397367,-1.2795,0.528765,0.380182,-0.077484,-1.255452,0.278416,-0.801474,-0.311349,2
-0.078858,-0.519442,0.289593,1.861145,1.040648,-0.182768,-0.402797,0.235988,-0.050573,-0.512592,-1.024374,0.399045,-0.450835,1
-0.150891,0.106176,0.761518,0.60387,0.036426,-1.410256,-0.910008,-0.233359,0.489998,0.021903,-0.937022,0.976549,-1.412839,2
0.975667,-0.042771,2.516813,0.76822,-0.232482,0.427075,-0.03662,-0.700354,0.985132,1.295755,-1.819908,1.732525,-0.372766,3
-0.184998,0.058613,1.488338,-1.007276,-0.833963,-0.56445,-1.070758,-1.037085,0.018988,-0.791651,-0.716522,-0.354783,0.178021,2
-2.26909,-0.206247,0.287896,0.713696,0.66123,1.085094,-0.453009,0.71153,0.255133,0.51452,-0.06742,0.558203,0.271185,1
0.311143,-1.407413,-1.163659,-0.79994,1.088152,-2.259112,-0.079855,-0.324125,0.698315,-0.872738,0.695275,0.077163,0.72008,2
0.243154,0.919856,1.279764,-0.271666,-2.505492,-1.461539,0.046394,-1.277977,3.405664,0.119121,0.554922,1.055273,0.61312,3
1.975351,1.214801,-0.182937,2.537835,-0.141172,1.258321,1.35706,1.856214,-1.120015,-1.708463,-0.798544,-1.692636,-1.186015,2
-0.18646,1.387788,0.015481,-0.5274,1.315613,-0.60696,-0.399091,1.151573,1.325264,-2.178341,0.625579,0.203063,2.054781,1
-0.515788,0.542339,-0.631191,0.865721,0.316471,0.652921,-0.297482,-0.712193,0.260336,-0.773884,-0.113225,0.039577,0.377576,2
-1.002122,-0.449582,0.213259,0.370015,-0.144874,-0.348813,1.868064,-0.759206,1.350581,0.26354,0.295462,0.538011,-0.551023,1
0.463744,-2.561721,-0.385388,-0.583246,-0.996047,-0.545535,-0.6949,-0.544687,-0.76104,1.376618,-0.767006,0.903065,-1.223627,5
-0.637539,0.356503,-1.159517,0.327267,0.756215,-0.837676,-0.184705,-0.36319,0.502285,-0.86231,0.225899,-0.192877,1.667493,2
1.124784,0.260652,-1.259919,0.480021,-0.242397,-0.816493,0.296748,0.889241,-0.936688,0.419806,-0.466555,-1.685421,-0.93507,1
-0.427478,-0.321459,-1.047637,-0.953599,0.561848,0.10391,1.034039,1.131513,0.227071,-0.323357,-2.217905,-0.559576,1.787667,2
-0.564792,-0.059803,-1.066299,0.999347,0.446363,0.568831,0.612306,-0.187241,-0.676284,-0.114678,0.828774,0.111331,-0.56614,1
2.306903,-0.514769,1.029884,1.040696,-0.150909,0.053758,2.140832,0.58513,0.705024,-0.917147,0.737315,-0.492457,0.793372,1
-0.630242,-0.906982,-0.228847,-0.610164,-0.208037,-0.224711,0.871895,-1.209817,0.834416,0.724493,-0.418383,-0.865181,-0.436162,2
-0.749259,0.595098,-0.613952,-0.409842,-0.341656,0.532816,-0.617905,0.091515,1.057564,-0.709349,-0.748077,0.82139,-0.292391,1
1.175426,1.464205,0.834396,1.1377,-1.207939,2.167308,-1.928027,1.034761,1.486777,1.010202,-0.326488,-0.833027,0.561487,2
0.099474,0.24979,-0.146728,-0.447872,0.036075,0.455507,-1.084321,0.884417,0.84533,0.033985,0.150945,0.632575,-0.537661,1
-1.943398,-0.436132,0.071513,-0.999342,-0.545586,0.197892,-0.094084,0.912041,-0.450503,0.328813,-0.746536,0.215479,-0.478585,2
-1.192452,0.050049,-0.708743,0.590561,-1.448938,0.13468,-0.02086,-1.165546,0.238882,0.193001,-1.279301,0.171016,-0.755965,2
0.062682,-0.365779,-1.001162,-0.28861,0.769105,-0.264709,-0.227415,-0.337214,0.256318,0.515623,-0.146488,-0.784637,-1.13202,1
-1.887451,-0.837098,-1.03979,0.242433,0.226856,0.720175,-0.260411,0.168654,-0.412895,-0.388467,0.279734,-1.26218,0.219233,2
-1.75829,0.275644,0.120463,0.460593,-0.653231,-1.36968,0.681825,0.7066,0.070776,0.560401,1.431212,-1.051167,0.120305,2
-1.419134,1.005811,0.380512,0.468259,-0.116997,-1.073453,0.137487,-0.53579,1.045949,-0.178702,0.062263,-0.406391,-0.103782,3
-0.605247,-0.781149,0.460773,-0.487724,-0.031383,-0.444577,-1.533606,-0.067639,-0.111257,0.682583,-0.442203,0.974577,-0.240193,1
-1.100044,1.093193,0.807041,0.163025,1.151849,1.276031,-0.662102,0.036851,0.280375,-1.188679,-0.485846,0.478067,0.269942,2
-1.292755,0.182132,-0.216199,0.887639,-0.698412,-0.27718,-0.652206,1.253595,0.236156,0.66786,0.580772,-0.955541,-1.011212,3
0.619106,0.017422,1.239268,1.09181,-0.852684,0.473063,0.659303,0.816841,-0.215331,-0.501903,0.544306,-0.50068,0.948305,2
0.363583,0.119434,0.008935,-0.065188,-0.307396,-0.561578,1.199721,-0.451743,-0.861193,0.108317,-0.294382,-1.249437,0.371914,2
-0.283955,-0.205391,0.306364,0.496267,-1.189747,-2.739061,0.663245,-1.604657,0.959082,-1.196345,0.886463,-0.062695,0.138978,1
0.533926,0.210702,-0.509582,0.122468,-0.387637,-2.533373,-0.01686,0.630854,-0.856218,-0.364011,-0.825139,-1.425623,-0.653808,3
0.83325,-0.003646,-1.252204,0.633814,1.361876,-0.253131,-0.354217,-1.408446,-0.045899,0.378511,-0.101136,1.347423,1.31919,3
-0.178634,0.457165,0.684997,0.158573,-0.086646,-2.160453,-0.914684,0.157964,-1.533718,-0.898404,-0.315819,0.415599,0.720163,3
-0.607367,-0.340525,-2.407838,-1.622085,-0.384217,0.708917,-0.151299,2.500997,0.131122,1.123821,-1.598909,1.421111,0.733129,1
-0.613119,-0.127757,0.95229,1.477827,0.018587,0.401435,0.424514,-0.838982,-0.172266,0.147338,-0.910922,1.514416,-1.413109,2
1.303264,0.650245,0.200816,-0.688283,1.449384,0.885555,0.983699,0.42518,1.027743,0.251267,0.167926,0.700596,1.018577,2
-0.572092,-1.149383,-0.594323,-1.301514,0.526525,1.048296,0.073769,0.530792,-0.594262,-0.916527,0.930728,-0.495226,0.07059,1
0.942596,0.390798,0.407785,-0.196832,-0.104285,0.351073,-0.438631,1.002554,-1.390316,0.93697,2.133136,-0.04356,-0.924701,2
1.382996,-2.455285,0.610405,0.486674,-0.358664,0.867581,-1.237912,1.809685,-0.810397,-1.087699,-0.742695,0.393105,-0.13657,1
0.691429,0.225731,1.77011,0.772554,-1.941595,0.301162,0.405188,0.386099,-1.426296,-0.826154,0.622908,0.050616,0.609313,2
-2.612506,-0.721621,0.403168,-0.256278,1.137917,0.183393,-0.401976,0.681078,-0.3922,-0.526696,-0.31439,0.332686,0.015195,1
-0.450565,0.434959,-1.561236,-1.501435,-2.316484,1.534407,1.410743,-1.447081,-1.07458,0.362791,-0.671794,-0.293085,1.501549,1
1.454259,1.433122,-0.694553,0.803334,0.970356,-0.694774,-0.735838,0.486228,0.077285,1.115192,-0.673716,1.374392,2.500549,3
1.659712,-0.684716,0.41202,-1.564309,1.984242,-0.258125,-0.372654,-1.492134,0.831124,-0.31493,1.259877,-2.870756,-1.364212,2
1.521568,1.65228,0.497096,1.443463,-1.430428,-1.985439,0.722539,-0.742189,-1.579413,0.211794,-0.884605,-2.09376,2.019022,3
0.439997,-0.506794,-0.197297,-0.163716,1.587192,-1.297546,0.797794,-0.820496,0.486846,0.599829,0.264164,-0.330003,0.20363,3
0.441208,0.022379,-1.287953,-0.872518,0.913083,-1.465501,-1.009974,1.434784,0.600661,0.644173,-0.806084,1.324538,1.113442,3
0.01113,-1.294462,-1.487496,-0.343446,-1.46292,0.925371,0.295691,2.046802,0.170814,-0.453856,1.060651,0.660243,-0.550692,1
-1.180362,1.012277,-0.329357,-1.056911,0.162205,1.06953,0.961,-0.729171,-0.629795,-0.071632,-0.324456,-0.020013,1.375768,2
1.264704,0.116385,-0.269458,-0.507293,-0.062225,1.050378,0.010667,-0.388933,0.625989,-0.217153,0.621174,0.183431,-1.950887,3
-0.652641,0.495334,0.023089,-1.052808,-0.916467,-0.0058,0.204359,-0.593692,-1.202404,-2.13976,-1.455987,-1.332394,0.175924,2
-1.005984,-0.016367,-0.609756,-1.311273,0.888166,0.499576,-0.355214,0.287759,0.326733,0.821857,-0.353528,-0.771279,-0.004835,1
2.178145,-3.055439,0.690961,-0.782714,0.176506,0.680733,1.405123,-2.26681,-0.086775,0.152757,-0.256976,0.383025,0.544298,2
-0.478424,0.526973,-0.150725,-0.533593,0.745691,-0.368012,0.682774,0.423297,-0.223874,0.222697,0.08857,-0.200047,0.260949,1
-1.721492,-0.690409,-1.320183,-0.924087,1.202614,-0.058134,-0.728206,0.981898,0.554483,-0.399955,0.721506,0.470568,0.422782,2
0.876394,0.29997,-0.259452,-0.209859,-0.254871,0.213057,-0.969481,-1.396783,-0.308673,0.70915,1.294095,1.314888,1.455154,3
0.604175,-0.967086,0.498297,1.659198,-0.503402,-0.270718,1.626501,-1.421109,0.533048,0.498056,0.510539,-0.528096,0.077433,2
-0.163776,0.272514,0.53576,-0.36865,-0.563484,-0.652223,1.081427,0.700665,-0.723574,-0.410038,1.559538,0.888152,0.32522,3
1.364477,1.108825,2.060739,-0.561206,-1.618502,0.198499,1.506289,0.684321,-0.395119,-1.54622,0.040822,-0.696116,0.792653,2
0.092732,-0.010283,1.210749,-1.582704,0.686464,-0.365843,0.285867,-0.564314,-0.891507,0.701593,0.731521,0.452955,-0.5868,2
-1.933606,-0.275543,0.218036,0.263546,-0.741319,0.755413,-0.177889,0.454581,-0.271002,-0.73748,-0.381724,-0.46407,-0.497305,1
-0.264269,-0.239953,-0.027994,1.556179,2.497513,0.071847,0.385466,-0.65072,0.373287,0.137171,0.090824,-0.276162,-0.918646,4
-0.400534,1.594895,0.549794,-1.698312,1.205315,1.29454,-0.038586,0.291682,1.341829,0.022031,-1.021651,0.581419,0.262326,5
1.466931,1.416868,-0.261555,2.659161,-1.77358,-0.288934,-1.773169,-0.326147,2.443297,1.807783,2.283499,1.146497,1.663102,1
0.966313,0.150338,-1.855294,0.033322,1.270427,2.330435,-1.306881,-2.674246,0.013766,1.272319,0.722804,-0.630222,-1.08398,3
-0.531682,0.404107,-0.41058,1.229352,-0.108702,-0.034028,-0.444284,-0.739297,-0.599739,0.204192,-0.260985,-0.501076,0.073136,2
0.415407,-0.816165,-0.140689,-0.197196,0.657301,2.050026,-0.997601,1.188338,0.192958,-2.590223,1.326242,-0.437647,-0.343185,3
2.464192,-0.047767,1.269523,-0.183951,-2.185762,0.835335,0.788704,-0.421486,1.600349,-0.700407,0.189299,1.11812,-2.293766,2
-0.831436,0.094549,-1.264118,0.518996,-0.326034,0.141109,0.713878,-1.291419,0.196113,0.499977,-0.588014,-0.513557,-1.432649,3
1.632965,-0.64096,-0.056902,0.26614,-0.099826,-2.189178,-0.727018,-0.821213,1.306438,-0.985172,0.720978,1.083387,1.386541,2
0.357836,1.330111,0.355125,0.118257,0.956084,-0.49708,0.097436,-0.386375,0.669104,0.59287,2.065857,-0.739555,-2.990085,1
-1.818737,0.773536,0.003348,-0.242878,-0.111216,-0.701722,0.290183,0.013449,-1.072588,-0.09369,-0.51908,0.725631,0.244086,2
1.750666,1.097818,0.339669,0.592085,0.511855,0.209482,-0.865457,0.599958,-0.982276,2.780353,0.282411,0.664895,0.934065,3
0.995942,-0.92507,-0.109799,-1.353448,-1.343755,0.014121,1.466359,-3.006668,-0.847998,-0.67323,-1.135385,-0.544015,1.506387,2
2.276278,1.549404,-0.169,-0.086716,0.320027,-0.182493,-0.64436,-1.250717,0.788516,0.528129,1.406805,-1.75294,-0.813155,2
1.834918,-1.167058,2.527054,1.205453,-0.890212,0.780676,-1.124872,-1.464638,1.306819,0.909534,0.383736,-1.64587,0.527968,2
-0.123291,-0.129948,-0.350518,0.537249,-1.674354,-2.369199,0.950194,-0.200266,1.077822,-0.21668,1.210841,0.419551,1.277375,1
2.528793,0.953555,-1.422658,0.684405,2.176727,2.235382,1.944579,-0.992285,1.549039,-0.289452,1.024381,-0.900429,2.298896,1
-0.056575,-0.897273,-1.971185,-2.154737,-1.555081,-0.008036,-0.172699,0.743558,-1.085041,1.19574,-0.835379,-0.9236,-0.907329,2
2.567217,2.316591,-0.21033,0.278225,-0.416219,-1.479574,-0.98418,0.047394,-0.990317,0.60623,-2.515849,1.297233,2.140479,2
1.482833,-0.306758,-0.623382,0.226581,2.623581,1.056912,1.049755,-1.056419,0.286074,1.110483,-1.123487,2.898533,1.058056,1
0.022996,1.210453,0.419042,-0.623104,0.003052,-1.382773,-0.098277,1.496511,0.660637,1.982167,0.09186,0.990597,-2.122672,2
-0.403587,0.401365,-0.694759,-0.078076,0.467795,0.434824,0.290505,0.37796,0.949006,-0.028033,0.025606,-0.090563,-0.234045,3
-0.936536,-0.704861,0.417493,0.721232,1.311018,-1.328398,-0.517035,0.536388,-0.270469,-0.208172,-0.53083,-1.134303,0.110351,2
0.380141,-1.717532,-0.444351,0.772256,-0.246083,-0.394516,-2.318056,-0.321287,0.705775,-0.476018,1.41887,-0.661148,1.096873,2
-0.5688,0.645184,-1.061507,-0.308452,0.169255,-0.178075,-0.818904,1.160108,-0.174287,0.577978,0.330675,0.190878,-1.579286,1
1.51226,0.237614,-0.721732,0.603969,0.021284,0.022868,-0.193353,-0.28507,-0.517756,-0.028271,0.585684,1.199839,2.000417,2
-0.675169,0.101324,-0.231337,-1.038375,0.258796,0.245242,0.216564,-0.557248,-0.759021,2.120629,1.684548,0.421064,-0.962253,3
0.068791,0.476287,-2.056594,0.483134,1.874217,0.611367,-1.00773,-0.514671,-0.615577,-0.220133,0.120993,1.185914,0.893006,2
2.667825,-1.715088,1.12029,0.439124,0.01576,0.918846,1.358846,1.391321,-0.834631,0.79822,-0.527779,-0.287829,-0.078011,1
0.68266,-0.829596,0.595683,0.716254,1.104077,0.932433,1.033924,0.457226,0.156815,0.213577,0.083551,-1.798622,1.293366,2
1.582966,1.135422,-0.92004,1.65781,0.902861,0.492325,-1.648638,0.210515,-1.469023,0.71382,-1.695361,-0.820223,1.324724,3
0.487968,0.652674,0.903101,-0.804068,1.320618,-3.261878,0.848859,-1.040746,0.725544,-1.339091,-0.431874,2.320414,1.908684,2
-1.605432,0.133479,-0.433813,0.406056,0.988594,1.408306,-0.381129,0.902397,0.267531,-0.732774,1.068083,-0.780418,0.310458,1
-0.825426,1.018891,-1.110193,0.381507,-0.989315,0.922666,0.67303,-0.577528,0.104835,-0.531522,-0.231578,0.476748,0.229718,2
-0.222324,0.021665,1.328756,-0.35842,0.936722,-0.983334,1.037237,-0.157356,0.708226,0.888274,1.385057,-0.298507,-0.751974,1
0.439506,-2.796697,0.205278,-0.77262,-1.861802,0.068666,1.740201,-1.756063,-0.625182,-0.455114,-1.314798,0.468782,0.189094,2
0.702446,0.740082,-0.239972,-0.968831,0.97212,-1.229495,0.630967,0.054725,-0.527716,1.087399,1.208973,-0.157044,0.478998,2
-0.413807,0.967546,-0.332599,-0.366449,-2.260645,0.99134,1.730463,-1.633042,1.1963,-0.360703,-0.484335,-1.387098,0.750031,1
-1.372692,-0.647042,-0.583727,0.981692,-1.018345,0.554554,2.819233,-1.857439,-0.899082,0.065057,-2.161039,-1.090307,0.43317,2
1.768407,-1.170585,1.035178,0.948597,1.397664,0.913962,0.077146,-0.529537,2.540495,1.868443,-2.260979,1.709281,0.625257,1
0.938832,-0.174577,0.135331,-0.056672,1.281414,-0.787664,-0.331446,0.342239,0.628368,-0.156425,0.682898,0.40359,-0.469757,1
0.358491,0.727736,1.094519,-2.449755,-0.390125,-0.682139,-1.696958,1.547835,0.617442,-1.17657,-0.916387,0.616391,1.023563,2
0.331015,0.638553,-1.291357,0.680829,0.007169,-0.536508,-1.817088,0.813027,0.538606,-0.261666,-2.038298,-0.136168,-1.091378,1
1.299899,2.141448,1.003054,-1.143313,-0.262874,1.14343,-1.765411,-0.898962,0.850876,-0.176767,-3.136249,1.084462,0.47862,2
0.730597,0.508566,-0.18837,-0.820901,1.316278,0.344807,-0.11736,-0.645366,2.274407,0.619329,-1.154475,-0.130618,0.369667,1
-1.007258,-1.270906,-0.037464,-2.46692,-1.817783,0.041393,0.356126,0.373189,-1.262122,0.120882,-0.984007,0.59521,-0.369149,2
0.995011,-1.133633,0.690504,2.176596,-2.270735,0.967566,1.177495,0.961594,-0.073925,-0.745465,-0.227082,-0.238948,0.283177,2
1.938813,-0.974506,-0.773434,-0.528654,2.163097,-0.062034,1.340821,0.553498,0.954941,0.96659,-1.582621,1.078682,-1.27612,1
-0.814525,2.007129,1.758219,-1.210069,0.064449,-0.321929,-0.79443,-0.015989,-2.799072,0.299772,0.664182,-0.633831,-0.410876,2
-0.673657,1.733648,-0.209752,0.820086,0.571,-0.418031,-0.100989,0.41154,0.679652,-1.24804,2.289805,-1.515419,-1.498135,2
-0.081728,-1.12248,0.310797,0.195591,0.189367,-1.060827,0.359652,-0.104729,0.690959,-0.434157,0.176713,0.046244,-0.402081,3
0.121095,-0.229462,-0.951037,-0.2925,-1.916928,-1.080542,-0.43518,-0.14251,-0.618467,0.858711,-2.366038,-0.267833,-0.467692,1
-0.398896,0.019407,0.267718,-0.435659,0.168055,1.579047,1.214187,-0.831747,0.266568,-0.91413,-1.019107,0.597615,0.17445,2
-0.216115,-1.302915,-0.345207,0.715883,-1.139151,-0.002951,1.330856,0.235736,0.188855,0.482848,-0.158727,-0.911325,-0.978047,3
1.131955,-0.135026,-0.236881,-0.289015,0.500706,0.669323,-0.059158,-0.695867,0.083632,-1.685005,0.355182,-0.19934,-1.115287,2
2.367248,2.335718,-0.965382,0.295575,-1.147905,-3.173013,-0.308603,-0.594674,-0.490702,-1.975641,0.683964,-1.111073,-0.688416,2
-1.442214,1.199547,2.140864,0.143451,-0.317441,0.092789,-1.116755,-0.109057,-1.496542,-1.313045,-0.67852,-0.111763,-0.379331,1
-0.722925,0.335097,1.30956,-0.02628,0.678271,-1.205821,1.094259,-0.446315,-0.126185,-0.801395,0.673051,0.298957,-0.082286,3
-1.035837,0.4315,0.280108,-0.17503,0.843447,-1.396283,-0.797618,0.622673,0.949197,-0.824486,-0.072314,0.36374,-0.11997,3
-1.433164,1.009928,-0.273216,0.948417,0.370498,-1.7814,-0.740379,0.625344,-0.252234,-0.075791,0.151158,-0.425683,0.663559,3
-2.05988,0.241635,-0.618687,1.790555,0.697034,0.548286,-1.211455,-0.116034,-0.691541,0.825679,-1.090799,0.082784,-0.204469,1
-1.555939,-0.228582,-0.304816,0.184998,-0.383543,-0.201705,-0.441599,-0.027364,0.29083,0.044945,-0.303471,-0.180079,0.846966,2
-1.660046,1.334337,1.167862,-0.925424,0.098429,-0.600681,-0.648211,0.548356,-0.515753,-1.99509,-0.123515,0.678782,0.865018,2
-0.236158,-0.843084,1.085969,-0.741813,3.002216,0.359926,-0.50577,-1.046906,0.031755,1.860275,0.612567,-0.998283,-0.835865,1
1.16442,-1.750656,1.006783,0.131464,0.016338,-0.1229,-1.666822,-0.20301,-1.131532,-2.518889,0.543442,-0.368715,0.421088,2
0.970535,-1.379518,-0.407061,-0.315563,-0.024392,0.96292,-0.976516,-0.378798,0.580839,0.533727,-0.356497,-1.782909,-0.308545,1
-1.20823,0.609502,-1.256083,0.038437,-0.91286,0.353157,1.394863,-0.094622,-1.001072,1.073119,0.879167,0.087945,-0.284845,2
-1.579301,-0.685697,0.517156,-0.371765,0.493842,0.758235,0.213754,-0.102796,-0.459531,0.375935,-0.537397,0.823988,0.028408,1
-1.488939,0.337518,1.554164,-0.112654,0.444693,0.171252,-1.303562,0.32986,0.374363,0.900621,-0.494528,-0.966131,-0.106892,1
-1.124065,1.390677,-0.422286,0.773792,-0.229151,-1.162094,-0.045055,-0.395733,0.231878,-0.035479,-0.646283,0.412521,-0.42713,3
0.399154,0.278405,0.083323,0.802397,-0.24153,0.70897,0.310027,-0.261652,-0.677816,0.221925,1.005253,-0.095777,-0.398591,2
0.084876,1.331643,-1.894872,0.754435,-1.05017,-1.491401,0.260758,1.062783,-0.67343,-0.193509,-0.564444,-0.352382,-1.124456,3
-0.125405,0.514278,-0.911551,0.51137,-1.239918,-0.005166,0.403834,-1.184226,0.264277,-0.166091,1.188777,-0.630755,0.457271,3
-0.345348,1.296027,0.466382,1.487176,-1.394509,-0.594417,-0.426792,-0.128788,0.673846,-0.658659,-0.648244,0.187091,0.466046,3
